,,,,,,,,
,Africa,2015,2016,2017,2018,2019,2020,2021
,Total (billion $2019),120,110,113,102,93,72,90
,Supply (by type),117,106,107,97,86,67,82
,Fossil fuels (fuel supply & power),91,81,84,76,66,45,58
,Renewables,10,10,9,9,10,13,13
,Electricity networks,15,15,14,12,10,9,10
,Other supply,0,0,0,0,0,0,0
,End-use,3,3,6,5,7,5,8
,Energy efficiency,3,3,5,5,7,5,7
,Renewables and other end-use,0,0,0,0,0,0,1
,,,,,,,,
,Fuels,81,70,73,66,55,40,53
,Fossil fuels,81,69,73,66,55,40,53
,Oil,61,50,54,50,39,28,34
,Gas,18,17,17,14,14,11,17
,Coal,2,2,2,2,2,2,2
,Low-carbon fuels,0,0,0,0,0,0,0
,,,,,,,,
,Power,35,37,34,31,31,27,29
,Generation,21,22,20,19,21,18,18
,Coal,2,2,3,3,3,2,2
,Gas and oil,9,10,9,7,9,3,4
,Nuclear,0,0,0,0,0,0,0
,Renewables,10,10,9,9,10,13,13
,Battery Storage,0,0,0,0,0,0,0
,Electricity networks,15,15,14,12,10,9,10
,,,,,,,,
,Memo: Oil & natural gas upstream,69,56,60,55,42,28,31
