,,,,,,,,
,Central and South America,2015,2016,2017,2018,2019,2020,2021
,Total (billion $2019),116,100,93,105,108,86,86
,Supply (by type),100,82,80,90,92,75,80
,Fossil fuels (fuel supply & power),66,52,53,61,64,42,47
,Renewables,24,20,16,20,22,27,26
,Electricity networks,10,11,10,9,7,6,6
,Other supply,0,0,0,0,0,0,1
,End-use,15,18,14,15,16,11,6
,Energy efficiency,15,17,13,15,16,10,5
,Renewables and other end-use,1,1,1,1,1,1,1
,,,,,,,,
,Fuels,63,48,49,57,60,40,47
,Fossil fuels,62,48,49,56,59,39,44
,Oil,50,37,38,45,50,33,37
,Gas,11,10,10,10,9,5,7
,Coal,1,1,1,1,1,1,0
,Low-carbon fuels,1,1,1,1,1,1,3
,,,,,,,,
,Power,37,34,30,34,32,35,33
,Generation,27,23,20,24,26,29,26
,Coal,1,1,1,1,1,0,0
,Gas and oil,3,4,4,4,4,2,2
,Nuclear,0,0,0,0,0,0,1
,Renewables,23,19,16,20,21,26,23
,Battery Storage,0,0,0,0,0,0,0
,Electricity networks,10,11,10,9,7,6,6
,,,,,,,,
,Memo: Oil & natural gas upstream,52,39,40,47,49,32,33
