,,,,,,,,
,Eurasia,2015,2016,2017,2018,2019,2020,2021
,Total (billion $2019),146,126,126,121,118,97,120
,Supply (by type),141,122,120,115,113,93,113
,Fossil fuels (fuel supply & power),128,109,106,101,98,78,97
,Renewables,3,3,4,4,4,4,4
,Electricity networks,7,7,8,7,7,6,7
,Other supply,3,3,3,3,4,5,6
,End-use,5,4,6,5,6,4,8
,Energy efficiency,5,4,5,5,5,4,7
,Renewables and other end-use,0,0,0,0,0,0,0
,,,,,,,,
,Fuels,120,100,95,87,82,61,76
,Fossil fuels,120,100,95,87,82,60,76
,Oil,55,43,42,40,38,31,37
,Gas,57,50,47,42,39,27,37
,Coal,8,7,6,6,4,2,2
,Low-carbon fuels,0,0,0,0,0,0,0
,,,,,,,,
,Power,21,22,25,28,31,33,36
,Generation,14,15,18,21,24,27,30
,Coal,2,2,3,4,5,6,7
,Gas and oil,6,7,9,10,12,12,14
,Nuclear,3,3,3,3,4,5,6
,Renewables,3,3,4,4,4,4,3
,Battery Storage,0,0,0,0,0,0,0
,Electricity networks,7,7,8,7,7,6,7
,,,,,,,,
,Memo: Oil & natural gas upstream,85,64,58,51,50,40,50
