,,,,,,,,
,Europe,2015,2016,2017,2018,2019,2020,2021
,Total (billion $2019),339,325,319,311,313,290,345
,Supply (by type),239,217,215,208,212,179,223
,Fossil fuels (fuel supply & power),107,85,84,85,90,60,74
,Renewables,76,76,77,67,63,55,80
,Electricity networks,52,49,48,49,48,51,56
,Other supply,6,6,6,7,11,12,12
,End-use,99,108,104,103,101,111,122
,Energy efficiency,90,98,95,93,91,101,115
,Renewables and other end-use,10,10,10,10,10,9,8
,,,,,,,,
,Fuels,97,78,77,76,79,51,65
,Fossil fuels,93,73,72,71,74,47,59
,Oil,51,37,42,44,43,28,30
,Gas,40,35,29,26,29,18,29
,Coal,2,2,1,1,2,1,1
,Low-carbon fuels,4,4,5,5,5,5,6
,,,,,,,,
,Power,142,139,138,132,133,128,158
,Generation,90,89,89,82,84,76,101
,Coal,6,5,5,6,7,7,6
,Gas and oil,7,7,7,8,10,7,9
,Nuclear,5,5,5,6,10,11,11
,Renewables,72,72,72,62,57,51,75
,Battery Storage,0,1,1,1,1,1,1
,Electricity networks,52,49,48,49,48,51,56
,,,,,,,,
,Memo: Oil & natural gas upstream,68,49,47,45,47,31,34
