,,,,,,,,
,Middle East,2015,2016,2017,2018,2019,2020,2021
,Total (billion $2019),144,120,112,114,124,92,103
,Supply (by type),143,118,110,112,122,91,100
,Fossil fuels (fuel supply & power),131,105,95,97,109,79,88
,Renewables,2,2,3,4,4,4,4
,Electricity networks,10,10,9,8,6,4,5
,Other supply,1,2,3,4,4,4,3
,End-use,1,2,2,3,2,1,3
,Energy efficiency,1,1,2,2,2,1,3
,Renewables and other end-use,0,0,0,0,0,0,0
,,,,,,,,
,Fuels,121,94,85,87,99,71,78
,Fossil fuels,121,94,85,87,99,71,78
,Oil,96,73,64,66,77,56,58
,Gas,26,21,21,21,21,15,20
,Coal,0,0,0,0,0,0,0
,Low-carbon fuels,0,0,0,0,0,0,0
,,,,,,,,
,Power,22,24,25,25,24,20,22
,Generation,12,14,16,17,18,16,17
,Coal,0,0,1,1,1,1,1
,Gas and oil,10,10,10,9,9,7,9
,Nuclear,1,2,3,4,4,4,3
,Renewables,2,2,3,4,4,4,4
,Battery Storage,0,0,0,0,0,0,0
,Electricity networks,10,10,9,8,6,4,5
,,,,,,,,
,Memo: Oil & natural gas upstream,80,60,55,55,58,44,44
