,,,,,,,,
,North America,2015,2016,2017,2018,2019,2020,2021
,Total (billion $2019),450,415,428,433,430,364,399
,Supply (by type),396,362,377,384,381,318,347
,Fossil fuels (fuel supply & power),265,226,248,250,238,169,192
,Renewables,58,55,47,56,63,62,65
,Electricity networks,67,70,71,71,75,79,81
,Other supply,7,11,12,7,5,8,9
,End-use,53,53,50,49,48,46,52
,Energy efficiency,52,52,49,47,47,44,51
,Renewables and other end-use,1,1,1,2,1,1,1
,,,,,,,,
,Fuels,249,209,233,237,226,153,175
,Fossil fuels,248,208,231,235,225,152,172
,Oil,155,125,139,144,141,95,106
,Gas,89,78,88,88,82,56,64
,Coal,4,4,3,3,3,2,1
,Low-carbon fuels,2,2,2,2,1,1,3
,,,,,,,,
,Power,147,153,144,147,155,165,172
,Generation,80,83,73,75,80,85,89
,Coal,0,0,0,0,0,1,1
,Gas and oil,17,19,17,15,13,17,18
,Nuclear,7,10,11,6,5,6,7
,Renewables,56,54,45,55,62,61,63
,Battery Storage,0,0,0,1,1,2,3
,Electricity networks,67,70,71,71,75,79,81
,,,,,,,,
,Memo: Oil & natural gas upstream,178,126,149,168,168,107,111
