,iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,gdp,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
11261,,North America,1990,4.669,301.778,2.966,176.617,-1.531,-118.143,0.222,59.224,,,,0.066,17.669,17.669,63.153,,,0.197,21.309,11.194,5692.846,,20347.218,6765.06,24179.495,,,,,,,,,,,,,,,95486.811,-0.758,85.743,-175.022,22907.01,81873.621,,,,0.007,22.745,0.423,6076.394,,21718.082,6132.123,21917.271,,3.711,6.368,60.881,1701.238,,6080.519,,,,6.553,14.257,234.246,3808.766,13613.19,,7.178,7.098,126.988,1896.168,,6777.232,,-1.648,41.69,-186.64,11137.771,,39808.321,7599.987,27163.669,,,16.719,0.692,26.475,184.826,,,660.6,,427517667.0,26715.777,,,5.941,7.159,107.258,1912.599,6835.958,,46.878,0.004,0.33,1.033,,3.691,,,32.108,0.029,1.904,7.832,,27.995
11262,,North America,1991,-3.249,-219.79,0.527,32.342,2.198,167.023,0.089,23.727,,,15.873,0.077,2.805,20.474,72.461,,,-1.085,21.059,-61.777,5631.069,,19929.32,6545.27,23164.833,,,,,,,,,,,,,,,94635.691,-0.632,85.126,-144.778,22762.233,80559.447,,,,2.172,23.218,131.956,6208.349,,21972.413,6164.465,21817.1,,0.781,6.412,13.284,1714.522,,6067.986,,,,4.424,14.874,168.505,3977.271,14076.244,,7.437,7.619,141.018,2037.186,,7209.95,,-1.93,40.849,-214.956,10922.814,,38657.714,7767.009,27488.779,,,5.758,0.731,10.642,195.468,,,691.793,,432663821.0,26739.504,,,1.437,7.256,27.487,1940.085,6866.294,,29.171,0.005,0.301,1.334,,4.721,,,5.816,0.031,0.456,8.288,,29.333
11263,,North America,1992,-0.619,-40.491,2.291,141.251,-0.853,-66.244,1.62,433.17,,,13.699,0.086,2.805,23.279,81.582,,,0.756,20.88,42.558,5673.627,,19883.743,6504.779,22796.591,,,,,,,,,,,,,,,95229.107,2.095,85.523,476.784,23239.017,81443.249,,,,3.513,23.65,218.114,6426.463,,22522.126,6305.717,22098.958,,-3.858,6.066,-66.148,1648.374,,5776.875,,,,-1.097,14.477,-43.614,3933.657,13785.859,,0.259,7.517,5.273,2042.459,,7157.982,,1.979,40.993,216.112,11138.926,,39037.381,7700.766,26988.035,,,7.5,0.773,14.66,210.128,,,736.412,,438123767.0,27172.674,,,-2.52,6.96,-48.887,1891.198,6627.876,,-13.817,0.004,-0.184,1.15,,4.029,,,-0.234,0.03,-0.019,8.269,,28.978
11264,,North America,1993,-5.355,-348.325,3.085,194.51,-1.607,-123.762,2.025,550.353,,,16.851,0.098,3.923,27.201,94.382,,,2.969,21.073,168.432,5842.06,,20270.501,6156.454,21361.371,,,,,,,,,,,,,,,96192.042,1.839,85.368,427.457,23666.473,82116.805,,,,2.775,23.824,178.308,6604.771,,22916.922,6500.227,22554.179,,5.848,6.294,96.405,1744.779,,6053.95,,,,3.124,14.632,122.897,4056.554,14075.237,,0.727,7.421,14.84,2057.299,,7138.318,,0.725,40.47,80.716,11219.642,,38929.382,7577.004,26290.329,,,3.431,0.784,7.21,217.338,,,754.108,,443652234.0,27723.027,,,5.714,7.212,108.056,1999.255,6936.919,,16.264,0.005,0.187,1.337,,4.638,,,4.014,0.031,0.332,8.601,,29.842
11265,,North America,1994,9.025,555.631,4.997,324.788,-0.644,-48.766,2.257,625.718,,,11.983,0.107,3.26,30.461,104.595,,,0.794,20.771,46.376,5888.435,,20219.4,6712.084,23047.603,,,,,,,,,,,,,,,97342.432,2.34,85.437,553.753,24220.226,83166.139,,,,2.648,23.915,174.874,6779.645,,23279.589,6825.015,23435.379,,-3.288,5.952,-57.365,1687.413,,5794.15,,,,1.774,14.563,71.966,4128.519,14176.293,,6.055,7.697,124.565,2181.864,,7491.97,,2.964,40.75,332.503,11552.145,,39667.149,7528.238,25850.068,,,0.083,0.767,0.18,217.518,,,746.902,,449318541.0,28348.745,,,-2.631,6.867,-52.599,1946.655,6684.323,,5.759,0.005,0.077,1.414,,4.854,,,14.526,0.035,1.249,9.85,,33.822
11266,,North America,1995,-0.039,-2.624,0.403,27.474,-0.415,-31.247,1.96,555.545,,,7.266,0.113,2.213,32.674,110.966,,,1.174,20.611,69.115,5957.55,,20232.533,6709.46,22786.106,,,,,,,,,,,,,,,98162.324,1.222,84.819,296.018,24516.244,83260.009,,,,4.124,24.423,279.611,7059.256,,23974.054,6852.489,23271.848,,10.768,6.467,181.695,1869.108,,6347.706,,,,6.286,15.181,259.527,4388.046,14902.314,,3.69,7.827,80.503,2262.367,,7683.262,,-0.456,39.785,-52.708,11499.437,,39053.423,7496.991,25460.653,,,-1.901,0.738,-4.136,213.382,,,724.669,,455163076.0,28904.29,,,9.196,7.354,179.024,2125.679,7219.053,,2.827,0.005,0.04,1.454,,4.937,,,-8.001,0.031,-0.788,9.062,,30.775
11267,,North America,1996,2.948,197.782,1.417,97.068,2.199,164.852,3.281,948.222,,,-28.272,0.079,-9.238,23.436,78.667,,,4.518,20.858,269.186,6226.736,,20900.769,6907.242,23184.966,,,,,,,,,,,,,,,100203.449,3.246,84.79,795.757,25312.001,84962.693,,,,1.813,24.076,128.012,7187.269,,24124.909,6949.557,23327.002,,9.006,6.825,168.332,2037.44,,6838.906,,,,3.475,15.21,152.465,4540.511,15240.756,,-0.517,7.539,-11.697,2250.67,,7554.638,,3.466,39.856,398.559,11897.996,,39937.015,7661.844,25717.874,,,2.241,0.731,4.782,218.164,,,732.293,,461221136.0,29852.512,,,7.723,7.671,164.162,2289.841,7686.118,,5.718,0.005,0.083,1.537,,5.158,,,2.223,0.031,0.201,9.263,,31.093
11268,,North America,1997,2.352,162.473,1.068,74.221,1.576,120.785,0.807,241.017,,,26.626,0.099,6.24,29.677,98.403,,,2.212,21.149,137.758,6364.494,,21103.692,7069.715,23442.098,,,,,,,,,,,,,,,99785.557,1.555,85.419,393.602,25705.603,85235.861,,,,0.744,24.061,53.483,7240.752,,24009.23,7023.778,23289.778,,-0.336,6.748,-6.842,2030.598,,6733.155,,,,-3.361,14.581,-152.584,4387.927,14549.696,,-6.924,6.961,-155.831,2094.839,,6946.167,,1.701,40.209,202.361,12100.357,,40122.94,7782.628,25806.01,,,1.697,0.737,3.701,221.866,,,735.672,,467453761.0,30093.53,,,0.142,7.62,3.247,2293.088,7603.529,,-1.372,0.005,-0.021,1.516,,5.026,,,1.815,0.031,0.168,9.431,,31.273
11269,,North America,1998,2.531,178.915,1.92,134.89,-0.534,-41.592,0.613,184.348,,,10.499,0.108,3.116,32.792,107.402,,,1.3,21.294,82.732,6447.226,,21116.015,7248.63,23740.779,,,,,,,,,,,,,,,99166.386,0.895,85.659,230.068,25935.671,84944.751,,,,-1.334,23.595,-96.592,7144.159,,23398.617,7158.668,23446.137,,-7.313,6.216,-148.508,1882.091,,6164.241,,,,-1.042,14.341,-45.72,4342.207,14221.635,,4.678,7.242,97.99,2192.829,,7181.973,,2.016,40.77,243.929,12344.286,,40430.119,7741.037,25353.515,,,1.091,0.741,2.421,224.286,,,734.584,,473738721.0,30277.878,,,-6.267,7.099,-143.71,2149.378,7039.662,,-0.711,0.005,-0.011,1.505,,4.929,,,-7.716,0.029,-0.728,8.704,,28.506
11270,,North America,1999,-3.131,-226.967,-0.133,-9.527,-4.136,-320.197,1.901,575.549,,,3.971,0.111,1.302,34.095,110.346,,,-0.333,20.827,-21.458,6425.768,,20796.849,7021.662,22725.446,,,,,,,,,,,,,,,99856.394,1.366,85.209,354.171,26289.842,85086.456,,,,1.096,23.409,78.298,7222.457,,23375.313,7149.141,23138.027,,2.475,6.251,46.573,1928.663,,6242.074,,,,5.098,14.791,221.379,4563.585,14769.937,,7.619,7.649,167.077,2359.905,,7637.779,,2.409,40.973,297.331,12641.616,,40914.294,7420.84,24017.375,,,0.914,0.734,2.05,226.336,,,732.531,,479907387.0,30853.427,,,2.526,7.142,54.302,2203.68,7132.158,,-0.583,0.005,-0.009,1.496,,4.842,,,50.397,0.042,4.386,13.09,,42.365
