,iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,gdp,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
210,,Africa,1990,-0.588,-7.224,6.522,44.183,7.171,246.938,3.286,82.957,,,,0.0,0.0,0.0,0.0,,51.635,5.049,33.665,42.189,877.811,261.242,1392.576,1221.227,1937.379,,164.674,250.445,42.646,57.255,8.449,43.126,,0.766,58.02,0.0,0.0,318.921,,4136.532,3.733,92.919,87.187,2422.826,3843.619,397.312,78.529,13.372,7.315,15.289,27.174,398.646,67.655,632.42,721.591,1144.747,17.953,1.739,6.099,2.718,159.041,90.83,252.306,20.842,66.469,105.448,-2.24,7.081,-4.23,184.637,292.912,2.649,-23.876,0.9,-7.361,23.469,13.404,37.232,13.522,1.579,43.965,17.824,1146.369,68.416,1818.623,3690.371,5854.48,,1.215,24.106,0.082,0.413,2.127,,0.24,3.374,505.943,630349685.0,2607.463,92.045,18.193,1.981,6.181,3.131,161.168,255.68,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
211,,Africa,1991,1.932,23.589,7.187,51.861,3.739,138.001,-0.087,-2.261,,,,0.0,0.0,0.0,0.0,,50.704,-2.804,32.75,-24.615,853.195,254.557,1317.994,1244.816,1922.959,,164.786,252.6,45.612,60.651,9.144,42.203,,0.788,61.439,0.0,0.0,324.998,,4024.448,-0.565,92.474,-13.689,2409.137,3721.571,390.21,77.724,14.034,0.75,15.417,2.99,401.636,70.459,620.437,773.452,1194.809,18.662,5.933,6.467,9.436,168.476,93.693,260.258,21.718,70.583,109.036,6.189,7.526,11.428,196.065,302.877,2.814,8.226,0.975,1.931,25.4,14.125,39.237,12.986,0.692,44.308,7.936,1154.306,65.193,1783.141,3828.372,5913.969,,1.217,2.908,0.084,0.062,2.189,,0.242,3.381,502.048,647344041.0,2605.202,94.91,18.905,5.893,6.551,9.498,170.665,263.639,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
212,,Africa,1992,2.275,28.325,4.503,34.831,1.896,72.582,1.694,44.12,,,,0.0,0.0,0.0,0.0,,50.43,0.598,32.397,5.106,858.301,248.935,1291.627,1273.14,1915.903,,165.42,258.707,50.544,57.86,9.288,42.743,,0.824,58.685,0.0,0.0,328.02,,3986.869,2.132,92.873,51.373,2460.51,3702.732,389.32,78.869,15.409,4.889,15.901,19.635,421.271,76.063,633.955,808.283,1216.356,17.639,-4.602,6.067,-7.753,160.723,87.072,241.866,20.722,67.973,102.289,-3.699,7.127,-7.253,188.813,284.137,2.832,1.575,0.974,0.4,25.8,13.977,38.826,13.03,2.307,44.575,26.632,1180.938,64.322,1777.15,3900.955,5870.405,,1.24,4.6,0.086,0.101,2.29,,0.251,3.446,493.626,664512034.0,2649.322,88.312,17.891,-4.484,6.153,-7.653,163.013,245.312,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
213,,Africa,1993,1.874,23.858,3.108,25.124,-1.304,-50.855,0.369,9.781,,,,0.0,0.0,0.0,0.0,,51.875,1.551,32.779,13.314,871.616,258.059,1278.275,1296.998,1902.122,,175.962,273.001,55.134,56.683,7.255,41.905,,0.916,57.6,0.0,0.002,339.205,,3899.727,0.749,93.225,18.44,2478.95,3635.522,400.371,80.482,16.254,-2.048,15.518,-8.626,412.644,80.856,605.167,833.407,1222.24,16.71,-2.036,5.921,-3.272,157.452,83.128,230.912,19.12,64.855,95.114,-4.586,6.775,-8.659,180.153,264.205,2.139,-21.888,0.758,-5.647,20.153,10.64,29.555,12.354,1.164,44.928,13.752,1194.689,61.456,1752.08,3850.099,5646.392,,1.343,11.095,0.096,0.254,2.544,,0.27,3.73,497.464,681869333.0,2659.103,84.474,16.981,-1.848,6.017,-3.012,160.001,234.65,0.0,,0.0,0.0,0.0,0.0,0.0,,0.001,,0.0,0.006,0.006,0.003,0.008
214,,Africa,1994,3.935,51.035,-5.251,-43.761,-0.201,-7.755,2.947,78.36,,,,0.0,0.0,0.0,0.0,,51.156,2.588,32.664,22.554,894.169,257.059,1278.399,1348.033,1927.289,,179.799,281.83,62.102,57.596,9.697,39.93,,0.821,58.422,0.0,0.005,351.47,,3913.764,2.795,93.088,69.292,2548.242,3643.234,402.933,80.186,17.669,4.649,15.775,19.184,431.828,88.787,617.387,789.647,1128.962,16.387,1.612,5.844,2.538,159.989,82.345,228.737,19.381,68.119,97.391,5.033,6.912,9.067,189.221,270.53,2.759,33.66,0.984,6.783,26.936,13.864,38.511,11.361,2.306,44.649,27.555,1222.244,57.087,1747.448,3842.345,5493.42,,1.174,-10.342,0.083,-0.263,2.281,,0.234,3.261,502.499,699445412.0,2737.463,83.527,16.622,1.427,5.928,2.284,162.285,232.019,0.0,,0.0,0.0,0.0,0.0,0.0,,0.002,170.0,0.001,0.009,0.015,0.008,0.021
215,,Africa,1995,5.045,68.012,10.519,83.059,1.62,62.259,4.049,110.848,,,,0.0,0.0,0.0,0.0,,51.523,3.09,32.363,27.634,921.804,260.556,1285.156,1416.045,1974.214,,186.889,289.353,66.314,59.769,11.301,36.15,,1.021,60.796,0.0,0.006,362.728,,3971.044,3.916,92.969,99.8,2648.041,3691.833,403.409,79.771,18.282,6.812,16.194,29.416,461.244,92.453,643.055,872.706,1216.705,16.478,3.773,5.829,6.036,166.025,83.328,231.468,19.876,72.097,100.516,5.839,7.031,11.048,200.269,279.21,3.116,16.541,1.102,4.456,31.392,15.756,43.766,9.966,3.498,44.412,42.75,1264.994,50.399,1763.623,3904.604,5443.702,,1.423,24.324,0.1,0.555,2.835,,0.281,3.953,505.707,717270112.0,2848.311,84.76,16.761,4.063,5.929,6.593,168.878,235.445,0.0,,0.0,0.0,0.0,0.0,0.0,,0.002,16.667,0.001,0.003,0.018,0.009,0.024
216,,Africa,1996,-0.308,-4.358,6.946,60.62,3.238,126.416,2.676,76.225,,,,0.0,0.0,0.0,0.0,,51.622,1.383,31.956,12.749,934.553,268.296,1270.876,1411.686,1919.719,,197.294,304.609,69.992,62.316,11.775,37.324,,1.26,63.584,0.0,0.007,382.192,,3977.007,2.536,92.842,67.165,2715.206,3692.345,414.231,79.701,18.313,4.975,16.556,22.948,484.192,95.18,658.441,933.326,1269.208,16.305,4.262,5.919,7.077,173.101,84.743,235.397,19.717,75.359,102.478,4.524,7.158,9.06,209.33,284.663,3.081,4.194,1.118,1.317,32.708,16.013,44.479,9.766,2.488,44.331,31.468,1296.462,50.755,1763.027,4031.02,5481.688,,1.714,23.454,0.12,0.665,3.5,,0.33,4.76,519.734,735361106.0,2924.536,86.466,16.637,4.585,6.039,7.744,176.621,240.183,0.0,,0.0,0.0,0.0,0.0,0.0,,0.002,12.698,0.001,0.002,0.02,0.01,0.027
217,,Africa,1997,6.37,89.922,11.602,108.286,2.325,93.727,1.924,56.259,,,,0.0,0.0,0.0,0.0,,51.395,2.543,32.15,23.77,958.322,273.368,1271.426,1501.609,1992.216,,206.048,320.402,75.844,63.852,12.647,38.51,,1.389,65.248,0.0,0.007,400.91,,3954.684,1.813,92.741,49.213,2764.42,3667.613,425.084,79.919,18.918,-2.007,15.918,-9.716,474.476,100.625,629.497,1041.612,1381.928,15.927,2.465,5.95,4.267,177.368,84.714,235.318,19.43,77.895,103.345,3.366,7.259,7.046,216.376,287.071,3.155,7.406,1.179,2.422,35.131,16.779,46.608,9.606,2.712,44.673,35.16,1331.621,51.092,1766.69,4124.747,5472.388,,1.842,10.201,0.129,0.357,3.857,,0.346,5.118,531.896,753737584.0,2980.796,86.566,16.275,2.618,6.08,4.624,181.246,240.462,0.0,,0.0,0.0,0.0,0.0,0.0,,0.002,1.408,0.001,0.0,0.02,0.01,0.027
218,,Africa,1998,1.341,20.139,6.5,67.705,0.336,13.87,1.556,46.385,,,,0.0,0.0,0.0,0.0,,49.642,-2.297,30.93,-22.014,936.308,261.122,1212.148,1521.748,1970.061,,201.7,321.908,77.33,66.655,13.601,42.877,,1.715,68.377,0.0,0.008,406.309,,3919.0,1.268,92.478,35.044,2799.464,3624.197,416.743,79.227,19.032,5.24,16.495,24.861,499.337,100.112,646.444,1109.317,1436.127,16.405,4.389,6.116,7.784,185.153,86.292,239.699,20.176,81.978,106.129,5.241,7.522,11.341,227.717,294.803,3.347,7.543,1.248,2.65,37.781,17.608,48.911,10.553,2.418,45.052,32.197,1363.818,55.509,1765.604,4138.617,5357.87,,2.22,23.47,0.157,0.905,4.763,,0.422,6.166,526.009,772437161.0,3027.181,88.521,16.829,4.795,6.274,8.691,189.936,245.892,0.0,,0.0,0.0,0.0,0.0,0.0,,0.002,5.556,0.001,0.001,0.021,0.01,0.027
219,,Africa,1999,-0.158,-2.409,9.682,107.409,-2.827,-117.007,3.035,91.885,,,,0.0,0.0,0.0,0.0,,47.752,3.116,30.954,29.173,965.481,252.425,1219.806,1519.338,1919.559,,199.796,330.573,86.09,70.684,12.837,44.687,,1.696,72.4,0.0,0.02,418.404,,3940.683,2.959,92.409,82.832,2882.296,3641.543,417.651,79.008,20.576,0.938,16.159,4.683,504.02,108.768,636.788,1216.727,1537.234,16.894,6.045,6.295,11.193,196.345,89.304,248.066,20.372,85.237,107.69,3.976,7.591,9.053,236.77,299.14,3.068,-5.617,1.143,-2.122,35.658,16.218,45.051,10.68,3.591,45.295,48.976,1412.795,56.458,1784.949,4021.61,5080.972,,2.143,-1.075,0.151,-0.051,4.711,,0.405,5.953,528.619,791504165.0,3119.066,91.472,17.304,5.884,6.448,11.175,201.112,254.088,0.0,,0.0,0.0,0.0,0.0,0.0,,0.005,160.526,0.002,0.034,0.055,0.025,0.069
