,iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,gdp,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
888,,Asia Pacific,1990,2.884,267.231,7.856,108.714,3.544,129.557,4.024,819.124,,,,,,,,,40.739,,,,9773.021,,,9533.321,,,1005.78,1746.728,270.587,399.272,287.139,470.361,,22.334,421.642,0.004,0.032,2468.861,,,,,,,,,70.75,10.96,,,,1520.215,,,1492.544,,16.172,,,,,,,28.709,708.78,,,,,,,11.63,,,,,,,19.052,,,,7912.114,,,3785.141,,,,,,,,,0.905,,,,21174.186,,17.078,,,,,,0.0,,,,,,,,0.001,,,,,,
889,,Asia Pacific,1991,1.959,186.725,8.8,131.347,2.832,107.211,4.612,976.498,,,,,,,,,42.092,,,,10173.43,,,9720.046,,,1109.339,1880.769,293.739,410.524,306.128,477.691,,22.838,433.494,0.009,0.122,2635.486,,,,,,,,,71.363,11.146,,,,1667.964,,,1623.891,,15.577,,,,,,,28.064,739.622,,,,,,,11.616,,,,,,,18.125,,,,8254.783,,,3892.352,,,,,,,,,0.867,,,,22150.684,,16.448,,,,,,0.0,,,,,,,,0.005,,,,,,
890,,Asia Pacific,1992,3.45,335.329,5.747,93.317,-0.158,-6.158,4.618,1022.879,,,,,,,,,43.888,,,,10526.23,,,10055.375,,,1220.033,2026.663,313.91,401.525,314.366,492.719,,23.006,424.779,0.028,0.22,2779.897,,,,,,,,,72.904,11.292,,,,1781.342,,,1717.208,,14.444,,,,,,,26.589,739.145,,,,,,,11.309,,,,,,,17.724,,,,8812.81,,,3886.193,,,,,,,,,0.828,,,,23173.564,,15.28,,,,,,0.001,,,,,,,,0.008,,,,,,
891,,Asia Pacific,1993,2.622,263.614,5.895,101.23,0.618,23.999,5.293,1226.661,,,,,,,,,44.266,,,,11078.731,,,10318.99,,,1291.792,2088.187,326.57,440.287,348.43,469.826,,22.899,463.54,0.043,0.312,2918.25,,,,,,,,,71.556,11.191,,,,1866.597,,,1818.438,,15.087,,,,,,,27.824,811.97,,,,,,,11.94,,,,,,,16.1,,,,9199.422,,,3910.192,,,,,,,,,0.785,,,,24400.224,,15.884,,,,,,0.001,,,,,,,,0.011,,,,,,
892,,Asia Pacific,1994,5.629,580.849,9.005,163.753,2.787,108.958,5.519,1346.681,,,,,,,,,45.298,,,,11631.397,,,10899.838,,,1438.51,2315.695,365.006,443.298,372.059,512.179,,26.371,470.306,0.053,0.584,3175.682,,,,,,,,,72.92,11.494,,,,2031.996,,,1982.192,,13.959,,,,,,,26.525,842.365,,,,,,,11.716,,,,,,,16.128,,,,9743.608,,,4019.15,,,,,,,,,0.83,,,,25746.905,,14.81,,,,,,0.002,,,,,,,,0.018,,,,,,
893,,Asia Pacific,1995,8.401,915.746,5.088,100.852,1.764,70.889,4.657,1199.035,,,,,,,,,45.625,,,,11906.26,,,11815.584,,,1549.107,2448.857,407.111,483.434,410.202,492.638,,30.902,515.529,0.071,1.122,3395.297,,,,,,,,,72.125,11.99,,,,2128.488,,,2083.044,,14.238,,,,,,,27.265,925.731,,,,,,,12.081,,,,,,,14.509,,,,10339.716,,,4090.039,,,,,,,,,0.91,,,,26945.94,,15.184,,,,,,0.002,,,,,,,,0.033,,,,,,
894,,Asia Pacific,1996,3.574,422.303,9.18,191.226,3.321,135.845,4.644,1251.449,,,,,,,,,47.211,,,,12427.719,,,12237.887,,,1686.074,2612.496,443.333,473.409,431.28,483.089,,31.456,505.955,0.098,0.991,3571.364,,,,,,,,,73.151,12.414,,,,2323.767,,,2274.27,,13.256,,,,,,,26.243,937.234,,,,,,,12.076,,,,,,,13.527,,,,10842.472,,,4225.884,,,,,,,,,0.881,,,,28197.389,,14.167,,,,,,0.003,,,,,,,,0.028,,,,,,
895,,Asia Pacific,1997,1.41,172.51,6.47,147.137,0.996,42.083,3.068,864.975,,,,,,,,,47.577,,,,12484.574,,,12410.397,,,1780.491,2748.115,508.748,475.895,459.453,458.877,,34.938,512.193,0.147,1.214,3742.363,,,,,,,,,73.433,13.594,,,,2510.773,,,2421.406,,12.716,,,,,,,25.963,971.646,,,,,,,12.277,,,,,,,12.262,,,,11367.998,,,4267.967,,,,,,,,,0.934,,,,29062.364,,13.686,,,,,,0.004,,,,,,,,0.032,,,,,,
896,,Asia Pacific,1998,-2.187,-271.44,1.644,39.816,-0.43,-18.364,-0.228,-66.219,,,,,,,,,47.956,,,,12472.008,,,12138.957,,,1845.875,2803.714,532.891,506.674,478.352,424.948,,37.542,545.909,0.203,1.49,3849.126,,,,,,,,,72.84,13.844,,,,2567.84,,,2461.222,,13.163,,,,,,,26.61,1024.26,,,,,,,12.428,,,,,,,11.04,,,,11111.127,,,4249.604,,,,,,,,,0.975,,,,28996.145,,14.183,,,,,,0.005,,,,,,,,0.039,,,,,,
897,,Asia Pacific,1999,2.763,335.417,6.259,154.057,-0.964,-40.949,4.035,1170.015,,,,,,,,,49.365,,,,12901.125,,,12474.374,,,1993.877,2989.412,577.148,500.243,486.471,418.386,,41.203,543.785,0.286,2.053,4039.029,,,,,,,,,74.013,14.289,,,,2772.941,,,2615.279,,12.385,,,,,,,25.508,1030.256,,,,,,,12.044,,,,,,,10.359,,,,11630.27,,,4208.654,,,,,,,,,1.02,,,,30166.16,,13.463,,,,,,0.007,,,,,,,,0.051,,,,,,
