,iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,gdp,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
1008,AUS,Australia,1990,4.701,59.923,16.397,29.036,16.077,48.687,1.762,18.304,,,,0.0,0.0,0.0,0.0,,79.255,2.394,42.032,10.389,444.348,7273.504,26198.195,1334.602,78686.533,,123.363,139.402,12.566,14.76,0.0,3.474,,0.76,15.519,0.0,0.0,155.654,2.244,62328.71,1.709,95.922,17.04,1014.049,59787.093,8219.196,89.56,8.073,0.53,15.869,0.884,167.76,740.864,9890.903,206.112,12152.092,9.482,3.549,3.878,1.405,40.999,870.223,2417.23,9.97,15.519,915.003,3.023,4.078,1.265,43.108,2541.617,0.0,,0.0,0.0,0.0,0.0,0.0,2.232,1.456,38.021,5.767,401.942,204.828,23697.995,351.528,20725.645,,44.78,-6.235,0.2,-0.14,2.11,,0.488,124.387,9177.358,16960600.0,1057.157,915.003,9.97,3.023,4.078,1.265,43.108,2541.617,0.0,,0.0,0.0,0.0,0.0,0.0,471000000000.0,0.0,,0.0,0.0,0.0,0.0,0.0
1009,AUS,Australia,1991,3.733,49.823,4.684,9.654,-5.49,-19.298,-0.638,-6.749,,,,0.0,0.0,0.0,0.0,,80.539,2.007,43.151,8.917,453.264,7401.234,26369.437,1384.425,80541.357,,127.222,141.303,11.202,15.654,0.0,2.879,,0.72,16.378,0.005,0.0,157.964,2.293,61109.317,-0.901,95.669,-9.137,1004.912,58462.523,8220.439,89.453,7.092,-4.136,15.31,-6.938,160.821,651.716,9356.05,215.765,12552.515,9.91,6.057,4.14,2.483,43.482,910.657,2529.64,10.369,16.378,952.832,5.538,4.331,2.387,45.496,2646.793,0.0,,0.0,0.0,0.0,0.0,0.0,1.823,-2.765,37.207,-11.115,390.827,167.489,22737.037,332.23,19328.031,,41.858,-5.267,0.19,-0.111,1.999,,0.455,116.273,9189.676,17189235.0,1050.408,952.832,10.369,5.538,4.331,2.387,45.496,2646.793,0.003,,0.001,0.015,0.015,0.317,0.881,458000000000.0,0.0,,0.0,0.0,0.0,0.0,0.0
1010,AUS,Australia,1992,6.704,92.811,8.144,17.571,-1.449,-4.815,1.014,10.652,,,,0.0,0.0,0.0,0.0,,80.546,0.594,42.972,2.694,455.959,7470.467,26201.511,1477.236,84888.888,,130.002,144.358,11.964,15.942,0.0,2.392,,0.67,16.624,0.012,0.0,161.4,2.183,60973.443,0.992,95.648,9.971,1014.883,58319.914,8295.392,89.441,7.413,3.45,15.68,5.549,166.37,687.5,9560.378,233.336,13408.582,9.877,1.84,4.173,0.8,44.282,916.063,2544.649,10.3,16.624,955.26,1.497,4.352,0.681,46.177,2653.529,0.0,,0.0,0.0,0.0,0.0,0.0,1.482,0.442,36.996,1.728,392.555,137.425,22558.025,327.414,18814.761,,38.501,-6.88,0.175,-0.138,1.861,,0.415,106.948,9274.729,17402179.0,1061.06,955.26,10.3,1.497,4.352,0.681,46.177,2653.529,0.007,122.018,0.003,0.018,0.034,0.695,1.931,486000000000.0,0.0,,0.0,0.0,0.0,0.0,0.0
1011,AUS,Australia,1993,0.465,6.865,4.501,10.503,-6.727,-22.025,2.85,30.236,,,,0.0,0.0,0.0,0.0,,80.587,0.643,42.05,2.931,458.889,7571.198,26068.81,1484.101,84309.564,,133.277,147.895,12.247,16.387,0.0,2.37,,0.67,17.074,0.015,0.002,165.382,2.191,61994.866,2.856,95.654,28.986,1043.869,59300.626,8401.587,89.426,7.405,3.681,15.806,6.124,172.494,695.725,9799.101,243.839,13852.14,9.909,2.795,4.171,1.238,45.519,930.91,2585.893,10.324,17.074,969.914,2.707,4.346,1.25,47.427,2694.24,0.0,,0.0,0.0,0.0,0.0,0.0,1.433,5.077,37.798,19.931,412.486,134.663,23432.715,305.39,17348.745,,38.061,0.0,0.171,0.0,1.861,,0.405,105.727,9395.019,17603211.0,1091.296,969.914,10.324,2.707,4.346,1.25,47.427,2694.24,0.009,20.661,0.004,0.007,0.041,0.829,2.304,498000000000.0,0.001,,0.001,0.006,0.006,0.114,0.316
1012,AUS,Australia,1994,2.211,32.81,14.794,36.073,7.667,23.415,3.99,43.537,,,,0.0,0.0,0.0,0.0,,80.458,2.043,41.263,9.375,468.264,7691.317,26308.459,1516.912,85224.539,,136.894,152.979,13.556,16.15,0.0,2.529,,0.696,16.869,0.017,0.006,170.142,2.17,63758.248,4.225,95.871,44.105,1087.974,61125.545,8595.043,89.912,7.967,11.057,16.881,19.073,191.567,761.636,10762.78,279.912,15726.299,9.492,-1.446,3.953,-0.658,44.861,907.379,2520.431,9.915,16.869,947.798,-1.196,4.129,-0.567,46.859,2632.703,0.0,,0.0,0.0,0.0,0.0,0.0,1.486,3.796,37.727,15.656,428.143,142.09,24054.306,328.804,18473.2,,39.132,3.955,0.17,0.074,1.935,,0.409,108.698,9559.359,17798526.0,1134.833,947.798,9.915,-1.196,4.129,-0.567,46.859,2632.703,0.01,19.178,0.004,0.008,0.048,0.978,2.716,523000000000.0,0.003,175.0,0.001,0.01,0.015,0.309,0.858
1013,AUS,Australia,1995,4.938,74.908,5.733,16.048,-5.837,-19.194,2.653,30.102,,,,0.0,0.0,0.0,0.0,,81.002,3.396,41.562,15.903,484.167,7888.329,26908.634,1591.819,88468.808,,141.935,158.386,13.679,15.631,0.0,2.772,,0.826,16.485,0.021,0.007,175.224,2.134,64743.818,2.865,96.069,31.171,1119.145,62198.899,8802.597,90.39,7.807,0.965,16.603,1.849,193.416,760.237,10749.505,295.96,16448.614,8.921,-3.214,3.727,-1.442,43.419,868.723,2413.132,9.408,16.485,916.166,-2.281,3.931,-1.069,45.791,2544.919,0.0,,0.0,0.0,0.0,0.0,0.0,1.582,3.134,37.904,13.419,441.562,154.031,24540.76,309.611,17207.28,,45.879,18.521,0.197,0.358,2.293,,0.471,127.442,9738.437,17993083.0,1164.936,916.166,9.408,-2.281,3.931,-1.069,45.791,2544.919,0.012,21.552,0.005,0.01,0.059,1.175,3.265,546000000000.0,0.004,27.273,0.002,0.004,0.019,0.389,1.081
1014,AUS,Australia,1996,3.07,48.864,0.127,0.377,5.254,16.266,2.522,29.381,,,,0.0,0.0,0.0,0.0,,82.403,4.088,42.196,19.792,503.959,8160.353,27706.786,1640.684,90201.967,,148.431,162.856,11.936,15.968,0.0,2.49,,0.946,16.948,0.026,0.007,180.127,2.099,65661.469,2.51,96.058,28.095,1147.24,63073.273,8953.43,90.412,6.626,0.729,16.313,1.411,194.827,656.183,10711.242,296.337,16292.114,8.865,2.159,3.714,0.938,44.357,877.907,2438.671,9.409,16.948,931.736,2.808,3.942,1.286,47.077,2588.196,0.0,,0.0,0.0,0.0,0.0,0.0,1.382,1.561,37.549,6.892,448.454,136.894,24655.244,325.876,17916.109,,52.036,14.658,0.22,0.336,2.629,,0.525,144.547,9902.924,18189274.0,1194.316,931.736,9.409,2.808,3.942,1.286,47.077,2588.196,0.014,21.04,0.006,0.012,0.071,1.407,3.91,569000000000.0,0.004,0.0,0.002,0.0,0.019,0.385,1.069
1015,AUS,Australia,1997,9.047,148.432,0.013,0.039,6.136,19.997,2.526,30.17,,,,0.0,0.0,0.0,0.0,,83.329,5.06,43.239,25.5,529.459,8564.317,28795.277,1789.116,97303.297,,157.474,171.652,12.18,15.952,0.0,1.998,,0.997,16.988,0.031,0.008,188.98,2.065,66595.253,2.62,96.146,30.059,1177.299,64028.877,9335.397,90.831,6.445,-1.808,15.623,-3.522,191.305,662.417,10404.373,296.377,16118.818,8.441,-0.1,3.619,-0.044,44.313,867.587,2409.993,8.989,16.988,923.884,0.236,3.854,0.111,47.188,2566.376,0.0,,0.0,0.0,0.0,0.0,0.0,1.057,1.802,37.284,8.081,456.535,108.663,24829.228,345.873,18810.736,,54.222,5.335,0.226,0.14,2.769,,0.528,150.62,10277.772,18387205.0,1224.487,923.884,8.989,0.236,3.854,0.111,47.188,2566.376,0.016,19.727,0.007,0.014,0.085,1.667,4.63,593000000000.0,0.004,7.143,0.002,0.001,0.021,0.408,1.133
1016,AUS,Australia,1998,2.403,42.988,2.146,6.361,-5.314,-18.38,2.332,28.559,,,,0.0,0.0,0.0,0.0,,83.193,4.462,44.139,23.625,553.084,8928.05,29756.484,1832.103,98569.067,,165.946,182.188,14.468,15.798,0.0,1.775,,1.081,16.933,0.036,0.018,199.471,2.041,67415.175,2.439,96.246,28.712,1206.011,64884.64,9801.912,91.336,7.253,2.952,15.718,5.648,196.953,778.365,10596.297,302.737,16287.584,7.92,-0.969,3.502,-0.429,43.883,849.948,2360.971,8.489,16.933,910.99,-0.324,3.754,-0.153,47.035,2530.534,0.0,,0.0,0.0,0.0,0.0,0.0,0.89,-0.123,36.389,-0.561,455.974,95.497,24531.86,327.493,17619.466,,58.159,8.425,0.24,0.233,3.003,,0.542,161.553,10731.732,18587027.0,1253.046,910.99,8.489,-0.324,3.754,-0.153,47.035,2530.534,0.018,16.15,0.008,0.014,0.099,1.915,5.32,614000000000.0,0.009,140.0,0.004,0.029,0.05,0.968,2.69
1017,AUS,Australia,1999,5.448,99.816,1.45,4.388,-2.6,-8.514,4.375,54.82,,,,0.0,0.0,0.0,0.0,,82.727,6.199,44.911,34.286,587.37,9110.054,31263.031,1931.919,102827.308,,171.161,189.041,16.123,16.282,0.0,1.756,,1.134,17.499,0.041,0.043,206.9,2.021,69611.747,4.415,96.283,53.247,1259.258,67024.603,10061.689,91.368,7.793,2.431,15.425,4.787,201.741,858.146,10737.742,307.126,16346.901,7.869,3.061,3.458,1.343,45.226,866.582,2407.197,8.458,17.499,931.362,3.343,3.717,1.572,48.607,2587.144,0.0,,0.0,0.0,0.0,0.0,0.0,0.849,3.109,35.948,14.174,470.148,93.49,25023.83,318.979,16977.786,,60.33,4.857,0.241,0.146,3.149,,0.548,167.586,11012.212,18788187.0,1307.866,931.362,8.458,3.343,3.717,1.572,48.607,2587.144,0.02,14.045,0.009,0.014,0.113,2.161,6.003,647000000000.0,0.021,138.889,0.009,0.069,0.119,2.289,6.357
