,iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,gdp,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
5392,,Europe,2000,-3.644,-122.105,2.438,73.753,0.572,22.162,1.173,281.694,,,55.737,0.033,2.855,7.976,10.993,,29.646,2.905,18.927,129.846,4598.962,1477.329,6338.517,3228.296,4449.397,,1073.285,1823.481,557.227,617.664,1048.821,192.969,,42.331,682.584,0.134,22.455,3620.283,,33489.146,0.864,80.174,166.796,19480.881,26849.515,2509.941,50.368,15.392,2.686,22.985,146.075,5584.952,766.998,7697.457,3099.253,4271.544,17.061,3.257,7.061,54.119,1715.733,850.186,2364.709,47.825,1731.405,2383.201,2.443,19.826,114.897,4817.437,6639.631,28.971,0.804,11.99,23.243,2913.393,1443.655,4015.382,5.33,-1.16,38.262,-109.124,9296.967,265.614,12813.541,3894.414,5367.475,,58.267,11.107,0.484,11.755,117.587,,1.169,162.064,4983.158,726503736.0,24298.318,939.546,18.854,5.057,7.836,91.655,1904.044,2624.248,0.004,47.452,0.002,0.12,0.374,0.185,0.515,,0.62,57.64,0.257,22.807,62.374,30.908,85.967
5393,,Europe,2001,-0.758,-24.457,1.281,39.688,-2.784,-108.433,1.169,283.982,,,15.916,0.038,1.269,9.246,12.739,,29.532,-0.913,18.538,-42.011,4556.951,1497.512,6278.764,3203.839,4414.387,,1088.294,1854.406,577.535,612.041,1082.006,188.577,,44.955,684.1,0.17,26.934,3685.098,,33870.553,1.12,80.135,218.176,19699.057,27142.21,2551.696,50.322,15.672,1.964,23.165,109.661,5694.612,794.698,7846.283,3138.941,4324.968,16.609,-1.554,6.871,-26.658,1689.075,842.179,2327.281,47.926,1766.106,2430.194,1.366,19.865,65.806,4883.243,6728.343,29.362,2.494,12.147,72.665,2986.058,1488.86,4114.319,5.117,1.619,38.432,150.525,9447.493,259.486,13017.163,3785.981,5216.488,,61.858,5.508,0.505,6.476,124.063,,1.22,170.94,5070.762,726734626.0,24582.3,941.334,18.564,-0.36,7.718,-6.858,1897.186,2614.025,0.005,25.748,0.002,0.096,0.47,0.234,0.647,,0.731,19.17,0.302,11.957,74.332,37.062,102.417
5394,,Europe,2002,-0.871,-27.917,2.818,88.44,-0.624,-23.629,-0.43,-105.635,,,32.404,0.05,2.996,12.242,16.855,,29.319,-0.053,18.608,-2.433,4554.518,1499.029,6270.746,3175.921,4372.668,,1090.231,1907.131,612.94,563.942,1095.455,203.96,,50.656,651.301,0.277,36.426,3718.569,,33699.931,-0.123,80.382,-24.132,19674.925,27088.806,2622.238,51.287,16.483,0.318,23.339,18.114,5712.726,842.771,7865.389,3227.381,4443.519,15.166,-8.453,6.317,-142.78,1546.295,775.401,2128.968,46.974,1746.757,2401.729,-1.669,19.618,-81.504,4801.74,6611.125,29.459,0.59,12.272,17.612,3003.67,1506.212,4135.509,5.485,-0.421,38.435,-39.813,9407.68,280.438,12952.671,3762.352,5180.076,,69.651,11.956,0.567,14.833,138.897,,1.362,191.235,5112.9,727291447.0,24476.665,895.516,17.515,-5.224,7.346,-99.116,1798.07,2475.616,0.007,61.554,0.003,0.289,0.759,0.381,1.045,,0.98,34.368,0.408,25.546,99.878,50.084,137.513
5395,,Europe,2003,-0.763,-24.225,1.057,34.126,-4.293,-161.528,1.798,440.177,,,26.771,0.062,3.277,15.519,21.343,,30.212,3.979,19.006,181.222,4735.74,1581.533,6512.885,3151.696,4334.409,,1151.562,2005.074,670.779,529.569,1104.81,182.733,,57.981,632.549,0.469,44.531,3811.589,,34267.193,2.507,80.942,493.204,20168.129,27736.468,2753.73,52.605,17.598,4.517,23.963,258.049,5970.776,921.235,8211.382,3261.507,4485.428,13.894,-6.697,5.79,-103.559,1442.736,727.299,1984.14,45.581,1737.359,2386.055,-1.104,19.058,-53.027,4748.713,6530.725,28.986,0.207,12.08,6.231,3009.901,1517.324,4139.403,4.794,0.573,37.973,53.934,9461.614,250.963,13012.201,3600.823,4952.077,,79.63,13.726,0.634,19.065,157.961,,1.521,217.238,5234.763,728130218.0,24916.842,868.731,16.595,-3.296,6.978,-59.258,1738.812,2391.322,0.012,68.269,0.005,0.518,1.277,0.644,1.756,,1.168,21.468,0.487,21.441,121.319,61.158,166.845
5396,,Europe,2004,-3.112,-98.093,3.452,112.593,-4.327,-155.797,1.454,362.308,,,32.756,0.081,5.083,20.602,28.294,,28.824,-1.655,18.424,-78.395,4657.345,1540.899,6396.134,3053.603,4193.645,,1123.566,2006.185,720.299,570.153,1122.66,162.321,,68.801,699.002,0.751,59.297,3898.06,,34716.952,0.789,80.411,159.162,20327.291,27916.351,2751.355,51.466,18.478,2.427,24.193,144.903,6115.679,987.844,8398.927,3374.1,4633.798,14.627,6.978,6.105,100.674,1543.41,781.929,2119.632,46.733,1821.662,2498.294,4.278,19.589,203.145,4951.858,6800.601,28.8,0.968,12.022,29.149,3039.05,1539.656,4173.659,4.164,0.979,37.795,92.654,9554.268,222.613,13121.29,3445.026,4731.204,,94.356,17.906,0.737,28.284,186.245,,1.765,255.779,5345.94,729162659.0,25279.149,958.637,17.932,10.007,7.567,173.996,1912.808,2626.942,0.019,59.231,0.008,0.756,2.033,1.03,2.792,,1.521,32.31,0.635,39.198,160.517,81.322,220.445
5397,,Europe,2005,-2.168,-66.217,-2.913,-98.293,-7.981,-274.933,0.472,119.406,,,74.989,0.142,15.45,36.052,49.434,,28.159,-2.369,17.903,-110.322,4547.023,1526.81,6234.88,2987.386,4096.305,,1115.057,2050.184,779.055,571.725,1110.195,156.073,,78.673,722.982,1.486,71.097,3959.874,,34826.51,0.513,80.444,104.196,20431.488,28015.664,2807.249,51.774,19.674,2.614,24.708,159.839,6275.518,1066.733,8604.993,3275.807,4491.787,14.438,-0.359,6.055,-5.54,1537.87,782.844,2108.727,46.294,1833.176,2510.107,0.307,19.556,15.21,4967.068,6810.845,28.036,-1.736,11.758,-52.765,2986.285,1520.153,4094.796,3.941,0.572,37.833,54.679,9608.946,213.706,13175.791,3170.093,4346.833,,107.725,13.625,0.833,25.376,211.621,,1.987,290.175,5422.123,730317947.0,25398.556,989.954,18.258,3.554,7.799,67.974,1980.782,2716.049,0.038,96.642,0.016,1.965,3.998,2.035,5.482,,1.795,19.141,0.753,30.725,191.241,97.35,262.23
5398,,Europe,2006,-0.36,-10.766,-2.201,-72.087,-7.543,-239.126,0.864,219.559,,,55.95,0.219,20.171,56.223,76.96,,28.848,4.705,18.584,213.932,4760.956,1583.489,6516.974,2976.62,4074.508,,1158.472,2094.339,791.962,561.909,1108.071,143.905,,89.277,736.874,2.524,83.164,4015.794,,35067.031,0.974,80.531,198.943,20630.431,28239.703,2862.704,52.153,19.721,-0.75,24.313,-47.097,6228.421,1082.515,8525.695,3203.72,4385.371,13.992,-2.335,5.863,-35.911,1501.959,768.06,2055.937,45.942,1844.945,2521.813,0.415,19.469,20.616,4987.684,6827.328,27.593,-0.819,11.561,-24.459,2961.827,1514.596,4054.259,3.583,0.334,37.634,32.107,9641.054,196.7,13197.034,2930.967,4012.017,,122.031,12.765,0.932,27.013,238.634,,2.223,326.652,5489.097,731594768.0,25618.115,1007.217,18.349,2.276,7.908,45.075,2025.857,2773.069,0.063,68.746,0.026,2.749,6.747,3.45,9.235,,2.071,16.238,0.868,31.053,222.294,113.675,304.285
5399,,Europe,2007,-1.899,-56.511,-4.402,-141.023,-4.878,-142.958,-0.932,-238.681,,,39.076,0.308,21.97,78.193,106.83,,28.884,1.302,19.003,62.001,4822.956,1601.671,6589.287,2920.108,3989.552,,1174.033,2158.816,860.12,563.964,1055.813,124.663,,99.47,772.962,3.816,105.713,4064.693,,34674.247,-0.906,80.552,-186.877,20443.554,27930.679,2945.159,53.111,21.161,-0.879,24.325,-54.768,6173.653,1173.417,8434.655,3062.696,4184.36,13.875,-0.262,5.903,-3.929,1498.03,769.386,2046.659,44.992,1828.775,2494.902,-1.039,19.448,-51.804,4935.88,6743.568,25.975,-5.312,11.05,-157.322,2804.505,1440.39,3831.61,3.067,-2.013,37.223,-194.109,9446.944,170.071,12906.737,2788.008,3809.072,,135.701,10.72,1.041,25.583,264.217,,2.447,360.982,5545.249,733004672.0,25379.434,1054.512,19.016,5.209,8.398,105.518,2131.376,2911.958,0.094,50.227,0.04,3.389,10.135,5.206,13.847,,2.601,26.319,1.106,58.507,280.801,144.219,383.64
5400,,Europe,2008,-2.298,-67.097,4.636,141.99,-4.786,-133.429,-0.492,-124.878,,,37.514,0.426,29.333,107.526,146.609,,26.806,-5.662,18.016,-273.095,4549.862,1492.127,6203.658,2853.011,3890.031,,1095.968,2127.261,912.014,593.033,1055.098,119.279,,110.045,831.933,7.501,121.354,4088.565,,34434.149,-1.359,79.85,-277.82,20165.734,27495.628,2896.201,52.03,22.306,1.383,24.784,85.354,6259.007,1241.68,8534.047,3204.687,4369.534,14.505,4.501,6.199,67.432,1565.461,807.397,2134.479,46.154,1887.031,2569.135,3.099,20.15,152.942,5088.822,6938.521,25.806,-0.688,11.029,-19.306,2785.199,1436.484,3797.57,2.917,-0.954,37.05,-90.079,9356.865,162.395,12757.924,2654.58,3619.473,,149.823,9.944,1.15,26.274,290.491,,2.692,396.079,5566.457,734500455.0,25254.556,1132.651,20.348,8.082,9.122,172.248,2303.623,3140.951,0.183,95.363,0.078,9.666,19.801,10.212,26.998,,2.968,14.082,1.268,39.544,320.344,165.22,436.784
5401,,Europe,2009,-5.435,-155.075,-5.231,-167.628,-5.561,-147.627,-5.904,-1491.102,,,18.37,0.536,19.753,127.278,173.186,,25.788,-10.426,17.15,-474.383,4075.478,1364.554,5545.449,2697.936,3671.046,,1004.344,1960.363,847.509,589.745,1004.693,108.51,,120.747,860.067,14.193,135.383,3894.692,,32334.616,-7.05,78.878,-1421.68,18744.053,25504.785,2663.45,50.334,21.761,-7.741,24.3,-484.517,5774.489,1151.469,7857.271,3037.059,4132.486,15.142,-1.168,6.511,-18.29,1547.171,801.258,2105.216,47.88,1864.76,2533.559,-1.364,21.122,-69.422,5019.4,6829.831,25.796,-5.365,11.092,-149.429,2635.77,1365.027,3586.457,2.786,-4.946,37.428,-462.78,8894.086,147.428,12102.064,2506.953,3411.177,,164.052,9.048,1.333,26.283,316.774,,3.1,431.03,5291.529,736023880.0,23763.454,1168.532,22.083,3.473,10.031,80.007,2383.63,3243.374,0.364,88.043,0.157,17.433,37.234,19.283,50.664,,3.476,10.872,1.495,34.828,355.172,183.939,483.278
