;"Oil";"Coal";"Gas";"Hydroelectricity";"Nuclear";"Biomass and Waste";"Wind";"Fuel Ethanol";"Peat";"Geothermal";"Solar, Tide, Wave, Fuel Cell";"Biodiesel"
"1980-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;
"1981-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;
"1982-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;
"1983-01-01 00:00:00";2,6282513722;0;0;0;0;0;0;0;;0;0;
"1984-01-01 00:00:00";4,6142957726;0;0;0;0;0;0;0;;0;0;
"1985-01-01 00:00:00";5,2590723929;0;0;0;0;0;0;0;;0;0;
"1986-01-01 00:00:00";5,2590723929;0;0;0;0;0;0;0;;0;0;
"1987-01-01 00:00:00";4,6024378246;0;0;0;0;0;0;0;;0;0;
"1988-01-01 00:00:00";3,296999167;0;0;0;0;0;0;0;;0;0;
"1989-01-01 00:00:00";2,6303926878;0;0;0;0;0;0;0;;0;0;
"1990-01-01 00:00:00";2,6303926878;0;0;0;0;0;0;0;;0;0;
"1991-01-01 00:00:00";2,6303926878;0;0;0;0;0;0;0;;0;0;
"1992-01-01 00:00:00";3,692638974;0;0;0;0;0;0;0;;0;0;
"1993-01-01 00:00:00";3,8140695485;0;0;0;0;0;0;0;;0;0;
"1994-01-01 00:00:00";3,8798291738;0;0;0;0;0;0;0;;0;0;
"1995-01-01 00:00:00";1,972794574;0;0;0;0;0;0;0;;0;0;
"1996-01-01 00:00:00";1,3187996668;0;0;0,0048571429656;0;0;0;0;;0;0;
"1997-01-01 00:00:00";0,85487761772;0;0;0,0048571429656;0;0;0;0;;0;0;
"1998-01-01 00:00:00";0,65759817195;0;0;0,0048571429656;0;0;0;0;;0;0;
"1999-01-01 00:00:00";0,65759817195;0;0;0,0048571429656;0;0;0;0;;0;0;
"2000-01-01 00:00:00";0,45498596413;0;0;0,0057142855956;0;0;0;0;;0;0;0
"2001-01-01 00:00:00";0,46031872618;0;0;0,0057142855956;0;0;0;0;;0;0;0
"2002-01-01 00:00:00";0,52607854919;0;0;0,0057142855956;0;0;0;0;;0;0;0
"2003-01-01 00:00:00";0,26303928041;0;0;0,0057142855956;0;0;0;0;;0;0;0
"2004-01-01 00:00:00";0;0;0;0,0028571427978;0;0;0;0;;0;0;0
"2005-01-01 00:00:00";0;0;0;0,0028571427978;0;0;0;0;;0;0;0
"2006-01-01 00:00:00";0;0;0;0,0028571427978;0;0,0111111110354;0;0;;0;0;0
"2007-01-01 00:00:00";0;0;0;0,0028571427978;0;0,008333333451;0;0;;0;0;0
"2008-01-01 00:00:00";0;0;0;0,0028571427978;0;0,008333333451;0;0;;0;0;0
"2009-01-01 00:00:00";0;0;0;0,0028571427978;0;0,002777777817;0;0;;0;0;0
"2010-01-01 00:00:00";0;0;0;0,0028571427978;0;0,002777777817;0;0;;0;0;0
"2011-01-01 00:00:00";0;0;0;0,0028571427978;0;0,002777777817;0;0;;0;0;0
"2012-01-01 00:00:00";0;0;0;0,0028571427978;0;0,002777777817;0;0;;0;0;0
"2013-01-01 00:00:00";0;0;0;0,0057142855956;0;0,002777777817;0;0;;0;0;0
"2014-01-01 00:00:00";0;0;0;0,0057142855956;0;0,002777777817;0;0;;0;0;0
"2015-01-01 00:00:00";0;0;0;0,04000000103;0;0,002777777817;0;0;;0;0,014285713989;0
"2016-01-01 00:00:00";0;0;0;0,042857141967;0;0,0002777777817;0;0;;0;0,014285713989;0
