;"Oil";"Coal";"Gas";"Hydroelectricity";"Nuclear";"Biomass and Waste";"Wind";"Fuel Ethanol";"Peat";"Geothermal";"Solar, Tide, Wave, Fuel Cell";"Biodiesel"
"1980-01-01 00:00:00";0;0;0;0,18857142512;0;0;0;0;;0;0;
"1981-01-01 00:00:00";0;0;0;0,18571428302;0;0;0;0;;0;0;
"1982-01-01 00:00:00";0;0;0;0,19428572095;0;0;0;0;;0;0;
"1983-01-01 00:00:00";0;0;0;0,18285714092;0;0;0;0;;0;0;
"1984-01-01 00:00:00";0;0;0;0,19714286305;0;0;0;0;;0;0;
"1985-01-01 00:00:00";0;0;0;0,17142857252;0;0;0;0;;0;0;
"1986-01-01 00:00:00";0;0;0;0,21714286938;0;0;0;0;;0;0;
"1987-01-01 00:00:00";0;0;0;0,20857141982;0;0;0;0;;0;0;
"1988-01-01 00:00:00";0;0;0;0,21142856192;0;0;0;0;;0;0;
"1989-01-01 00:00:00";0;0;0;0,21142856192;0;0;0;0;;0;0;
"1990-01-01 00:00:00";0;0;0;0,21714286938;0;0;0;0;;0;0;
"1991-01-01 00:00:00";0;0;0;0,21428570402;0;0;0;0;;0;0;
"1992-01-01 00:00:00";0;0;0;0,22000001148;0;0;0;0;;0;0;
"1993-01-01 00:00:00";0;0;0;0,22000001148;0;0;0;0;;0;0;
"1994-01-01 00:00:00";0;0;0;0,22571428405;0;0;0;0;;0;0;
"1995-01-01 00:00:00";0;0;0;0,22857142615;0;0;0;0;;0;0;
"1996-01-01 00:00:00";0;0;0;0,23142856825;0;0;0;0;;0;0;
"1997-01-01 00:00:00";0;0;0;0,23714285245;0;0;0;0;;0;0;
"1998-01-01 00:00:00";0;0;0;0,23142856825;0;0;0;0;;0;0;
"1999-01-01 00:00:00";0;0;0;0,23142856825;0;0;0;0;;0;0;
"2000-01-01 00:00:00";0;0;0;0,23714285245;0;0;0;0;;0;0;0
"2001-01-01 00:00:00";0;0;0;0,23428571035;0;0;0;0;;0;0;0
"2002-01-01 00:00:00";0;0;0;0,23428571035;0;0;0;0;;0;0;0
"2003-01-01 00:00:00";0;0;0;0,23714285245;0;0;0;0;;0;0;0
"2004-01-01 00:00:00";0;0;0;0,35428571344;0;0;0;0;;0;0;0
"2005-01-01 00:00:00";0;0;0;0,38000000397;0;0;0;0;;0;0;0
"2006-01-01 00:00:00";0;0;0;0,39714284494;0;0;0;0;;0;0;0
"2007-01-01 00:00:00";0;0;0;0,3885714419;0;0;0;0;;0;0;0
"2008-01-01 00:00:00";0;0;0;0,3885714419;0;0;0;0;;0;0;0
"2009-01-01 00:00:00";0;0;0;0,38571428817;0;0;0;0;;0;0;0
"2010-01-01 00:00:00";0;0;0;0,38285712281;0;0;0;0;;0;0,00028571429141;0
"2011-01-01 00:00:00";0;0;0;0,41714285127;0;0;0;0;;0;0,0008571428626;0
"2012-01-01 00:00:00";0;0;0;0,4257142892;0;0;0;0;;0;0,00114285717727;0
"2013-01-01 00:00:00";0;0;0;0,44000001133;0;0;0;0;;0;0,00114285717727;0
"2014-01-01 00:00:00";0;0;0;0,44571429553;0;0;0;0;;0;0,00114285717727;0
"2015-01-01 00:00:00";0;0;0;0,42857140804;0;0;0;0;;0;0,00114285717727;0
"2016-01-01 00:00:00";0;0;0;0,48571430819;0;0;0;0;;0;0,00114285717727;0
