;"Oil";"Coal";"Gas";"Hydroelectricity";"Nuclear";"Biomass and Waste";"Wind";"Fuel Ethanol";"Peat";"Geothermal";"Solar, Tide, Wave, Fuel Cell";"Biodiesel"
"1980-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;
"1981-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;
"1982-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;
"1983-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;
"1984-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;
"1985-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;
"1986-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;
"1987-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;
"1988-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;
"1989-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;
"1990-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;
"1991-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;
"1992-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;
"1993-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;
"1994-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;
"1995-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;
"1996-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;
"1997-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;
"1998-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;
"1999-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;
"2000-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;0
"2001-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;0
"2002-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;0
"2003-01-01 00:00:00";24,097021567;0;0;0;0;0;0;0;;0;0;0
"2004-01-01 00:00:00";114,280108578;0;0;0;0;0;0;0;;0;0;0
"2005-01-01 00:00:00";118,02324036;0;0;0;0;0;0;0;;0;0;0
"2006-01-01 00:00:00";105,5034058;0;0;0;0;0;0;0;;0;0;0
"2007-01-01 00:00:00";96,340495145;0;0;0;0;0;0;0;;0;0;0
"2008-01-01 00:00:00";85,189791868;0;0;0;0;0;0;0;;0;0;0
"2009-01-01 00:00:00";79,817609933;0;0;0;0;0;0;0;;0;0;0
"2010-01-01 00:00:00";81,854830055;0;0;0;0;0;0;0;;0;0;0
"2011-01-01 00:00:00";76,806628519;0;0;0;0;0;0;0;;0;0;0
"2012-01-01 00:00:00";69,995763249;0;0;0;0;0;0;0;;0;0;0
"2013-01-01 00:00:00";66,809064165;0;0;0;0;0;0;0;;0;0,00028571429141;0
"2014-01-01 00:00:00";80,838968163;0;0;0;0;0;0;0;;0;0,00028571429141;0
"2015-01-01 00:00:00";82,175145841;0;0;0;0;0;0;0;;0;0,0008571428626;0
"2016-01-01 00:00:00";76,370997794;0;0;0;0;0;0,025714285878;0;;0;0,0008571428626;0
