;"Oil";"Coal";"Gas";"Hydroelectricity";"Nuclear";"Biomass and Waste";"Wind";"Fuel Ethanol";"Peat";"Geothermal";"Solar, Tide, Wave, Fuel Cell";"Biodiesel"
"1900-01-01 00:00:00";0;0;;0;;;;;;;;
"1901-01-01 00:00:00";0;0;;0;;;;;;;;
"1902-01-01 00:00:00";0;0;;0;;;;;;;;
"1903-01-01 00:00:00";0;0;;0;;;;;;;;
"1904-01-01 00:00:00";0;0;;0;;;;;;;;
"1905-01-01 00:00:00";0;0;;0;;;;;;;;
"1906-01-01 00:00:00";0;0;;0;;;;;;;;
"1907-01-01 00:00:00";0;0;;0;;;;;;;;
"1908-01-01 00:00:00";0;0;;0;;;;;;;;
"1909-01-01 00:00:00";0;0;;0;;;;;;;;
"1910-01-01 00:00:00";0;0;;0;;;;;;;;
"1911-01-01 00:00:00";0;0;;0;;;;;;;;
"1912-01-01 00:00:00";0;0;;0;;;;;;;;
"1913-01-01 00:00:00";0;0;;0;;;;;;;;
"1914-01-01 00:00:00";0;0;;0;;;;;;;;
"1915-01-01 00:00:00";0;0;;0;;;;;;;;
"1916-01-01 00:00:00";0;0;;0;;;;;;;;
"1917-01-01 00:00:00";0;0;;0;;;;;;;;
"1918-01-01 00:00:00";0;0;;0;;;;;;;;
"1919-01-01 00:00:00";0;0;;0;;;;;;;;
"1920-01-01 00:00:00";0;0,016282;;0;;;;;;;;
"1921-01-01 00:00:00";0;0,024423;;0;;;;;;;;
"1922-01-01 00:00:00";0;0,24423;;0;;;;;;;;
"1923-01-01 00:00:00";0;0,496601;;0;;;;;;;;
"1924-01-01 00:00:00";0;0,659421;;0;;;;;;;;
"1925-01-01 00:00:00";0;0,529165;;0;;;;;;;;
"1926-01-01 00:00:00";0;0,73269;;0;;;;;;;;
"1927-01-01 00:00:00";0;0,708267;;0;;;;;;;;
"1928-01-01 00:00:00";0;0,797818;;0;;;;;;;;
"1929-01-01 00:00:00";0;0,846664;;0,08571428571428574;;;;;;;;
"1930-01-01 00:00:00";0;1,090894;;0,09428571428571429;;;;;;;;
"1931-01-01 00:00:00";0;0,700126;;0,11142857142857139;;;;;;;;
"1932-01-01 00:00:00";0;0,138397;;0,15428571428571392;;;;;;;;
"1933-01-01 00:00:00";0;0;;0,2800000000000001;;;;;;;;
"1934-01-01 00:00:00";0;0,040705;;0,47714285714285676;;;;;;;;
"1935-01-01 00:00:00";0;0,089551;;0,4400000000000005;;;;;;;;
"1936-01-01 00:00:00";0;0,113974;;0,4514285714285711;;;;;;;;
"1937-01-01 00:00:00";0;0,293076;;0,6285714285714287;;;;;;;;
"1938-01-01 00:00:00";0;0,341922;;0,665714285714286;;;;;;;;
"1939-01-01 00:00:00";0;0,219807;;0,7771428571428572;;;;;;;;
"1940-01-01 00:00:00";0;0,195384;;0,9228571428571426;;;;;;;;
"1941-01-01 00:00:00";0;0,252371;;0,9857142857142857;;;;;;;;
"1942-01-01 00:00:00";0;0,341922;;1,002857142857143;;;;;;;;
"1943-01-01 00:00:00";0;0,56987;;0,7142857142857141;;;;;;;;
"1944-01-01 00:00:00";0;0,398909;;0,914285714285714;;;;;;;;
"1945-01-01 00:00:00";0;0,40705;;1,2371428571428615;;;;;;;;
"1946-01-01 00:00:00";0;0,830382;;0;;;;;;;;
"1947-01-01 00:00:00";0;0,830382;;0;;;;;;;;
"1948-01-01 00:00:00";0;0,952497;;0;;;;;;;;
"1949-01-01 00:00:00";0;1,237432;;0;;;;;;;;
"1950-01-01 00:00:00";0;1,30256;;1,6800000000000053;;;;;;;;
"1951-01-01 00:00:00";0;1,774738;;1,8999999999999975;;;;;;;;
"1952-01-01 00:00:00";0;2,059673;;1,9514285714285664;;;;;;;;
"1953-01-01 00:00:00";0;2,564415;;2,8342857142857176;;;;;;;;
"1954-01-01 00:00:00";0;3,085439;;3,3257142857142825;;;;;;;;
"1955-01-01 00:00:00";0;3,90768;;3,799999999999995;;;;;;;;
"1956-01-01 00:00:00";0;3,41922;;4,682857142857146;;;;;;;;
"1957-01-01 00:00:00";0;3,525053;;6,785714285714283;;;;;;;;
"1958-01-01 00:00:00";0;2,393454;;6,911428571428569;;;;;;;;
"1959-01-01 00:00:00";0;2,173647;;7,514285714285716;;;;;;;;
"1960-01-01 00:00:00";0;1,326983;;6,928571428571433;;;;;;;;
"1961-01-01 00:00:00";0;0,594293;;6,865714285714285;;;;;;;;
"1962-01-01 00:00:00";0;0,618716;;7,417142857142862;;;;;;;;
"1963-01-01 00:00:00";0;0,748972;;6,642857142857144;;;;;;;;
"1964-01-01 00:00:00";0;0,8141;;6,6742857142857135;;;;;;;;
"1965-01-01 00:00:00";0;0,928074;;7,351428571428577;;;;;;;;
"1966-01-01 00:00:00";0;0,919933;;7,968571428571428;;;;;;;;
"1967-01-01 00:00:00";0;1,082753;;7,005714285714287;;;;;;;;
"1968-01-01 00:00:00";0;0,578011;;7,44857142857143;;;;;;;;
"1969-01-01 00:00:00";0;0,529165;;8,134285714285715;;;;;;;;
"1970-01-01 00:00:00";0;0,830382;;9,005714285714285;;;;;;;;
"1971-01-01 00:00:00";0;0,911792;;9,820000000000004;;;;;;;;
"1972-01-01 00:00:00";0;1,042048;;9,820000000000004;;;;;;;;
"1973-01-01 00:00:00";0;0,936215;;10,765714285714292;;;;;;;;
"1974-01-01 00:00:00";0;0,716408;;9,697142857142854;;;;;;;;
"1975-01-01 00:00:00";0,29075;0,781536;;10,588571428571425;;;;;;;;
"1976-01-01 00:00:00";14,54913;0,887369;;11,451428571428577;;;;;;;;
"1977-01-01 00:00:00";13,09538;1,042048;;11,614285714285716;;;;;;;;
"1978-01-01 00:00:00";13,2582;0,871087;;11,714285714285763;;;;;;;;
"1979-01-01 00:00:00";12,00216;0,8141;;11,999999999999972;;;;;;;;
"1980-01-01 00:00:00";12,621140001;1,04198288363;0;11,997142818;0;0;0;0;;0;0;
"1981-01-01 00:00:00";12,588796971;1,05705249102;0;11,788571561;0;0;0;0;;0;0;
"1982-01-01 00:00:00";14,474653806;0,92868820356;0;11,657143257;0;0;0;0;;0;0;
"1983-01-01 00:00:00";15,735995923;0,85320422354;0;12,662856811;0;0;0;0;;0;0;
"1984-01-01 00:00:00";20,197260434;0,91361894507;0;13,274286616;0;0;0;0;;0;0;
"1985-01-01 00:00:00";20,771516107;0,91361894507;0;14,214286018;0;0;0;0;;0;0;
"1986-01-01 00:00:00";20,142076084;0,89854933768;0;14,868572373;0;0;0;0;;0;0;
"1987-01-01 00:00:00";20,142076084;0,92115344057;0;14,820000841;0;0;0;0;;0;0;
"1988-01-01 00:00:00";18,93493093;0,92871635979;0;14,845714771;0;0;0;0;;0;0;
"1989-01-01 00:00:00";17,624315992;0,94381768219;0;16,674285715;0;0;0;0;;0;0;
"1990-01-01 00:00:00";18,253756015;0,95136829687;0;15,911428658;0;0;0;0;;0;0;
"1991-01-01 00:00:00";17,624315992;0,52476268447;0;14,874285029;0;0;0;0;;0;0;
"1992-01-01 00:00:00";16,410274248;0,31523517398;0;17,122855978;0;0;0;0;;0;0;
"1993-01-01 00:00:00";15,735995923;0,10570768675;0;15,637143249;0;0;0;0;;0;0;
"1994-01-01 00:00:00";16,529263104;0,083056081125;0;14,974285584;0;0;0;0;;0;0;
"1995-01-01 00:00:00";18,883196038;0,075505449;0;17,420000152;0;0;0;0;;0;0;
"1996-01-01 00:00:00";18,93493093;0,056629011155;0;17,228571515;0;0;0;0;;0;0;
"1997-01-01 00:00:00";17,831256723;0,037752575636;0;14,211428527;0;0;0;0;;0;0;
"1998-01-01 00:00:00";16,893132077;0,029698880883;0;13,320000657;0;0;0;0;;0;0;
"1999-01-01 00:00:00";13,847677017;0,02164782614;0;14,991428204;0;0;0;0;;0;0;
"2000-01-01 00:00:00";16,410274248;0,0080666016107;0;16,968572398;0;0;0;0;;0;0;0
"2001-01-01 00:00:00";15,1065559;0,026429120339;0;16,897143264;0;0;0;0;;0;0;0
"2002-01-01 00:00:00";14,266728014;0,044799854383;0;17,282856866;0;0;0;0;;0;0;0
"2003-01-01 00:00:00";13,847677017;0,063172929546;0;17,422857643;0;0;0;0;;0;0;0
"2004-01-01 00:00:00";13,307911272;0,081545718611;0;20,020000626;0;0;0;0;;0;0;0
"2005-01-01 00:00:00";12,430144;0,090606421337;0;20,911428496;0;0;0;0;;0;0;0
"2006-01-01 00:00:00";12,588796971;0,093626842822;0;21,271428168;0;0;0;0;;0;0;0
"2007-01-01 00:00:00";13,945972614;0,096646984024;0;22,120000651;0;0;0;0;;0;0;0
"2008-01-01 00:00:00";12,59655767;0,087586281298;0;21,165714957;0;0;0;0;;0;0;0
"2009-01-01 00:00:00";13,847677017;0,090606421337;0;22,062856646;0;0;0;0;;0;0;0
"2010-01-01 00:00:00";13,217947407;0,050849216328;0;22,11714316;0;0;0;0;;0;0;0
"2011-01-01 00:00:00";12,690264069;0,0110879111625;0;22,094285558;0;0;0;0;;0;0;0
"2012-01-01 00:00:00";12,623008942;0,029215764868;0;21,457141823;0;0,047222221726;0;0;;0;0,00028571429141;0
"2013-01-01 00:00:00";12,58852134;0,03020223775;0;23,282856439;0;0,050000000706;0;0;;0;0,0014285713989;0
"2014-01-01 00:00:00";12,58852134;0,042615125156;0;24,94857133;0;0,052777775034;0;0;;0;0,0025714284715;0
"2015-01-01 00:00:00";12,58852134;0,052170378513;0;25,220000411;0;0,058333334157;0;0;;0;0,0025714284715;0
"2016-01-01 00:00:00";12,623008942;0,061725637685;0;25,73714348;0;0,061111108485;0;0;;0;0,0085714287423;0
