;"Oil";"Coal";"Gas";"Hydroelectricity";"Nuclear";"Biomass and Waste";"Wind";"Fuel Ethanol";"Peat";"Geothermal";"Solar, Tide, Wave, Fuel Cell";"Biodiesel"
"1900-01-01 00:00:00";0;;0;;;;;;;;;
"1901-01-01 00:00:00";0;;0;;;;;;;;;
"1902-01-01 00:00:00";0;;0;;;;;;;;;
"1903-01-01 00:00:00";0;;0;;;;;;;;;
"1904-01-01 00:00:00";0;;0;;;;;;;;;
"1905-01-01 00:00:00";0;;0;;;;;;;;;
"1906-01-01 00:00:00";0;;0;;;;;;;;;
"1907-01-01 00:00:00";0;;0;;;;;;;;;
"1908-01-01 00:00:00";0;;0;;;;;;;;;
"1909-01-01 00:00:00";0;;0;;;;;;;;;
"1910-01-01 00:00:00";0;;0;;;;;;;;;
"1911-01-01 00:00:00";0,03489;;0;;;;;;;;;
"1912-01-01 00:00:00";0,32564;;0;;;;;;;;;
"1913-01-01 00:00:00";0,15119;;0;;;;;;;;;
"1914-01-01 00:00:00";1,163;;0;;;;;;;;;
"1915-01-01 00:00:00";0,3489;;0;;;;;;;;;
"1916-01-01 00:00:00";0,67454;;0;;;;;;;;;
"1917-01-01 00:00:00";1,59331;;0;;;;;;;;;
"1918-01-01 00:00:00";3,27966;;0;;;;;;;;;
"1919-01-01 00:00:00";2,60512;;0;;;;;;;;;
"1920-01-01 00:00:00";1,72124;;0;;;;;;;;;
"1921-01-01 00:00:00";2,12829;;0;;;;;;;;;
"1922-01-01 00:00:00";2,01199;;0;;;;;;;;;
"1923-01-01 00:00:00";1,77939;;0;;;;;;;;;
"1924-01-01 00:00:00";1,89569;;0;;;;;;;;;
"1925-01-01 00:00:00";2,0934;;0;;;;;;;;;
"1926-01-01 00:00:00";2,01199;;0;;;;;;;;;
"1927-01-01 00:00:00";2,15155;;0;;;;;;;;;
"1928-01-01 00:00:00";3,11684;;0;;;;;;;;;
"1929-01-01 00:00:00";3,16336;;0;;;;;;;;;
"1930-01-01 00:00:00";3,31455;;0;;;;;;;;;
"1931-01-01 00:00:00";3,36107;;0;;;;;;;;;
"1932-01-01 00:00:00";3,15173;;0;;;;;;;;;
"1933-01-01 00:00:00";2,76794;;0;;;;;;;;;
"1934-01-01 00:00:00";2,57023;;0;;;;;;;;;
"1935-01-01 00:00:00";2,11666;;0;;;;;;;;;
"1936-01-01 00:00:00";2,12829;;0;;;;;;;;;
"1937-01-01 00:00:00";1,98873;;0;;;;;;;;;
"1938-01-01 00:00:00";2,62838;;0;;;;;;;;;
"1939-01-01 00:00:00";7,74558;;0;;;;;;;;;
"1940-01-01 00:00:00";10,80427;;0;;;;;;;;;
"1941-01-01 00:00:00";14,20023;;0;;;;;;;;;
"1942-01-01 00:00:00";13,74666;;0;;;;;;;;;
"1943-01-01 00:00:00";14,94455;;0;;;;;;;;;
"1944-01-01 00:00:00";15,73539;;0;;;;;;;;;
"1945-01-01 00:00:00";15,7005;;0;;;;;;;;;
"1946-01-01 00:00:00";14,90966;;0;;;;;;;;;
"1947-01-01 00:00:00";15,51442;;0;;;;;;;;;
"1948-01-01 00:00:00";21,87603;;0;;;;;;;;;
"1949-01-01 00:00:00";26,62107;;0;;;;;;;;;
"1950-01-01 00:00:00";30,31941;;0;;;;;;;;;
"1951-01-01 00:00:00";27,12116;;0;;;;;;;;;
"1952-01-01 00:00:00";27,35376;;0;;;;;;;;;
"1953-01-01 00:00:00";27,34213;;0;;;;;;;;;
"1954-01-01 00:00:00";22,9111;;0;;;;;;;;;
"1955-01-01 00:00:00";21,17823;;0;;;;;;;;;
"1956-01-01 00:00:00";20,10827;;0;;;;;;;;;
"1957-01-01 00:00:00";27,87711;;0;;;;;;;;;
"1958-01-01 00:00:00";37,02992;;0;;;;;;;;;
"1959-01-01 00:00:00";36,69265;;0;;;;;;;;;
"1960-01-01 00:00:00";38,59997;;0;;;;;;;;;
"1961-01-01 00:00:00";44,41497;;0;;;;;;;;;
"1962-01-01 00:00:00";55,06805;;0;;;;;;;;;
"1963-01-01 00:00:00";65,68624;;0,6262491386666663;;;;;;;;;
"1964-01-01 00:00:00";73,90865;;0,6262491386666663;;;;;;;;;
"1965-01-01 00:00:00";75,33914;;0,5901193806666662;;;;;;;;;
"1966-01-01 00:00:00";72,76891;;0,6744221493333338;;;;;;;;;
"1967-01-01 00:00:00";77,87448;;0,6744221493333338;;;;;;;;;
"1968-01-01 00:00:00";123,35941;;0,6744221493333338;;;;;;;;;
"1969-01-01 00:00:00";172,06585;;0,8550709393333326;;;;;;;;;
"1970-01-01 00:00:00";243,11352;;1,0236764766666662;;;;;;;;;
"1971-01-01 00:00:00";245,99776;;1,0236764766666662;;;;;;;;;
"1972-01-01 00:00:00";195,8492;;0,8550709393333326;;;;;;;;;
"1973-01-01 00:00:00";163,85507;;0,686465402;;;;;;;;;
"1974-01-01 00:00:00";142,36283;;0,72259516;;;;;;;;;
"1975-01-01 00:00:00";194,86065;;0,6623788966666663;;;;;;;;;
"1976-01-01 00:00:00";194,87228;;4,576436013333337;;;;;;;;;
"1977-01-01 00:00:00";279,99225;;5,491723216;;;;;;;;;
"1978-01-01 00:00:00";283,96971;;8,791574446666663;;;;;;;;;
"1979-01-01 00:00:00";309,33474;;13,404140218;;;;;;;;;
"1980-01-01 00:00:00";387,30560944;0;9,2135261595;27,711426694;0;0;0;0;;0;0;
"1981-01-01 00:00:00";388,14951713;0;15,355876351;28,882858444;0;0;0;0;;0;0;
"1982-01-01 00:00:00";435,38739051;0;28,869046656;29,614286589;0;0;0;0;;0;0;
"1983-01-01 00:00:00";474,17240544;0;34,70428053;28,839998405;0;0;0;0;;0;0,00014285715152;
"1984-01-01 00:00:00";535,87067192;0;43,917808434;28,285714931;0;0;0;0;;0;0,00014285715152;
"1985-01-01 00:00:00";576,67722508;0;53,745566647;22,911429129;0;0;0;0;;0;0,00014285715152;
"1986-01-01 00:00:00";528,16869279;0;61,423505404;22,62857241;0;0;0;0;;0;0,00028571429141;
"1987-01-01 00:00:00";581,3257826;0;68,180089975;23,33714179;0;0;0;0;;0;0,00028571429141;
"1988-01-01 00:00:00";557,70451991;0;74,936680361;22,345713365;0;0;0;0;;0;0,00028571429141;
"1989-01-01 00:00:00";572,24853271;0;83,843083225;22,62857241;0;0;0;0;;0;0,00028571429141;
