;"Oil";"Coal";"Gas";"Hydroelectricity";"Nuclear";"Biomass and Waste";"Wind";"Fuel Ethanol";"Peat";"Geothermal";"Solar, Tide, Wave, Fuel Cell";"Biodiesel"
"1980-01-01 00:00:00";0;0;0;1,3514285622;0;0;0;0;;0;0;
"1981-01-01 00:00:00";0;0;0;1,4342857994;0;0;0;0;;0;0;
"1982-01-01 00:00:00";0;0;0;1,6400000306;0;0;0;0;;0;0;
"1983-01-01 00:00:00";0;0;0;1,7799999935;0;0;0;0;;0;0;
"1984-01-01 00:00:00";0;0;0;1,9514285195;0;0;0;0;;0;0;
"1985-01-01 00:00:00";0;0;0;2,1342856139;0;0;0;0;;0;0;
"1986-01-01 00:00:00";0;0;0;2,3457143619;0;0;0;0;;0;0;
"1987-01-01 00:00:00";0;0;0;2,5314285984;0;0;0;0;;0;0;
"1988-01-01 00:00:00";0;0;0;2,7314285454;0;0;0;0;;0;0;
"1989-01-01 00:00:00";0;0;0;2,8399999452;0;0;0;0;;0;0;
"1990-01-01 00:00:00";0;0;0;3,1085715352;0;0;0;0;;0;0;
"1991-01-01 00:00:00";0;0;0;3,1342855815;0;0;0;0;;0;0;
"1992-01-01 00:00:00";0;0;0;3,2199999608;0;0;0;0;;0;0;
"1993-01-01 00:00:00";0;0;0;3,5742858138;0;0;0;0;;0;0;
"1994-01-01 00:00:00";0;0;0;3,8285713444;0;0;0;0;;0;0;
"1995-01-01 00:00:00";0;0;0;4,0400000924;0;0;0;0;;0;0;
"1996-01-01 00:00:00";0;0;0;4,2714287188;0;0;0;0;;0;0;
"1997-01-01 00:00:00";0;0;0;4,4285713017;0;0;0;0;;0;0;
"1998-01-01 00:00:00";0;0;0;4,465714149;0;0;0;0;;0,074285716697;0;
"1999-01-01 00:00:00";0;0;0;4,5400000762;0;0;0;0;;0,057142857119;0;
"2000-01-01 00:00:00";0;0;0;4,6571429023;0;0;0;0;;0,014285713989;0;0
"2001-01-01 00:00:00";0;0;0;5,6342857331;0;0;0;0;;0,00028571429141;0;0
"2002-01-01 00:00:00";0;0;0;5,7228571382;0;0;0;0;;0;0;0
"2003-01-01 00:00:00";0;0;0;6,4485713479;0;0;0;0;;0;0;0
"2004-01-01 00:00:00";0;0;0;7,131428775;0;0;0;0;;0;0;0
"2005-01-01 00:00:00";0;0;0;8,0142860328;0;0;0;0;;0;0;0
"2006-01-01 00:00:00";0;0;0;9,2171426243;0;0;0;0;;0;0;0
"2007-01-01 00:00:00";0;0;0;9,574285852;0;0;0;0;;0;0;0
"2008-01-01 00:00:00";0;0;0;9,3228573472;0;0;0;0,034079983293;;0,04000000103;0,00028571429141;0
"2009-01-01 00:00:00";0;0,13529011528;0;9,9685715781;0;0;0;0,029476799055;;0,068571430171;0,00114285717727;0
"2010-01-01 00:00:00";0;0,27058023056;0;13,948570756;0;0;0;0,0110538427057;;0,051428570593;0,00114285717727;0
"2011-01-01 00:00:00";0;0,15783846395;0;17,711428181;0;0;0,085714283934;0,033166979447;;0,022857142615;0,0022857143778;0
"2012-01-01 00:00:00";0;0;0;20,897143367;0;0;0,54857143439;0,047522492044;;0,00028571429141;0,0057142855956;0
"2013-01-01 00:00:00";0;0;0;23,585713269;0;0;1,01714285509;0,056830418332;;0,00028571429141;0,017142857252;0
"2014-01-01 00:00:00";0;0;0;25,494284657;0;0;1,4285713989;0,071817429462;;0,00028571429141;0,04571428523;0
"2015-01-01 00:00:00";0;0;0;27,362856986;0;0;2,1714285775;0,10078200959;;0,00028571429141;0,051428570593;0
"2016-01-01 00:00:00";0;0;0;29,434286753;0;0;2,3428571035;0,12065370213;;0,00028571429141;0,059999998056;0
