;"Oil";"Coal";"Gas";"Hydroelectricity";"Nuclear";"Biomass and Waste";"Wind";"Fuel Ethanol";"Peat";"Geothermal";"Solar, Tide, Wave, Fuel Cell";"Biodiesel"
"1980-01-01 00:00:00";0;0;0;0,94571427933;0;0;0;0;;0;0;
"1981-01-01 00:00:00";0;0;0;0,89714282874;0;0;0;0;;0;0;
"1982-01-01 00:00:00";0;0;0;0,9371428414;0;0;0;0;;0;0;
"1983-01-01 00:00:00";0;0;0;0,91428571623;0;0;0;0;;0;0;
"1984-01-01 00:00:00";0;0;0;0,63714286275;0;0;0;0;;0;0;
"1985-01-01 00:00:00";0;0;0;0,74000000161;0;0;0;0;;0;0;
"1986-01-01 00:00:00";0;0;0;0,90000004062;0;0;0;0;;0;0;
"1987-01-01 00:00:00";0;0;0;0,90285715946;0;0;0;0;;0;0;
"1988-01-01 00:00:00";0;0;0;0,91714283507;0;0;0;0;;0;0;
"1989-01-01 00:00:00";0;0;0;0,88857139081;0;0;0;0;;0;0;
"1990-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;
"1991-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;
"1992-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;
"1993-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;
"1994-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;
"1995-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;
"1996-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;
"1997-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;
"1998-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;
"1999-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;
"2000-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;0
"2001-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;0
"2002-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;0
"2003-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;0
"2004-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;0
"2005-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;0
"2006-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;0
"2007-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;0
"2008-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;0
"2009-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;0
"2010-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;0
"2011-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;0
"2012-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;0
"2013-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;0
"2014-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;0
"2015-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;0
"2016-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;0
