;"Oil";"Coal";"Gas";"Hydroelectricity";"Nuclear";"Biomass and Waste";"Wind";"Fuel Ethanol";"Peat";"Geothermal";"Solar, Tide, Wave, Fuel Cell";"Biodiesel"
"1980-01-01 00:00:00";0;0;0;0,071428569945;0;0;0;0;;0;0;
"1981-01-01 00:00:00";0;0;0;0,085714283934;0;0;0;0;;0;0;
"1982-01-01 00:00:00";0;0;0;0,108571433527;0;0;0;0;;0;0;
"1983-01-01 00:00:00";0;0;0;0,111428574464;0;0;0;0;;0;0;
"1984-01-01 00:00:00";0;0;0;0,102857142349;0;0;0;0;;0;0;
"1985-01-01 00:00:00";0;0;0;0,088571429523;0;0;0;0;;0;0;
"1986-01-01 00:00:00";0;0;0;0,051428570593;0;0;0;0;;0;0;
"1987-01-01 00:00:00";0;0;0;0,071428569945;0;0;0;0;;0;0;
"1988-01-01 00:00:00";0;0;0;0,071428569945;0;0;0;0;;0;0;
"1989-01-01 00:00:00";0;0;0;0,071428569945;0;0;0;0;;0;0;
"1990-01-01 00:00:00";0;0;0;0,071428569945;0;0;0;0;;0;0;
"1991-01-01 00:00:00";0;0;0;0,071428569945;0;0;0;0;;0;0;
"1992-01-01 00:00:00";0;0;0;0,074285716697;0;0;0;0;;0;0;
"1993-01-01 00:00:00";0;0;0;0,074285716697;0;0;0;0;;0;0;
"1994-01-01 00:00:00";0;0;0;0,08000000206;0;0;0;0;;0;0;
"1995-01-01 00:00:00";0;0;0;0,08000000206;0;0;0;0;;0;0;
"1996-01-01 00:00:00";0;0;0;0,08000000206;0;0;0;0;;0;0;
"1997-01-01 00:00:00";0;0;0;0,085714283934;0;0;0;0;;0;0;
"1998-01-01 00:00:00";0;0;0;0,08000000206;0;0;0;0;;0;0;
"1999-01-01 00:00:00";0;0;0;0,085714283934;0;0;0;0;;0;0;
"2000-01-01 00:00:00";0;0;0;0,091428569297;0;0;0;0;;0;0;0
"2001-01-01 00:00:00";0;0;0;0,097142861638;0;0;0;0;;0;0;0
"2002-01-01 00:00:00";0;0;0;0,097142861638;0;0;0;0;;0;0;0
"2003-01-01 00:00:00";0;0;0;0,11714286099;0;0;0;0;;0;0;0
"2004-01-01 00:00:00";0;0;0;0,12571428729;0;0;0;0;;0;0;0
"2005-01-01 00:00:00";0;0;0;0,13999999779;0;0;0;0;;0;0;0
"2006-01-01 00:00:00";19,194253181;0;0;0,14571428199;0;0;0;0;;0;0;0
"2007-01-01 00:00:00";9,3979020156;0;0;0,15428570829;0;0;0;0;;0;0;0
"2008-01-01 00:00:00";8,0668757298;0;0;0,17142857252;0;0;0;0;;0;0;0
"2009-01-01 00:00:00";7,0492939934;0;0;0,31428571241;0;0;0;0;;0;0;0
"2010-01-01 00:00:00";5,1605421025;0;0;0,33142857664;0;0;0;0;;0;0;0
"2011-01-01 00:00:00";4,8504974673;0;0;0,37142855441;0;0;0;0;;0;0;0
"2012-01-01 00:00:00";4,1342699649;0;0;0,38571428817;0;0;0,0028571427978;0;;0;0;0
"2013-01-01 00:00:00";4,2316323707;0;0;0,48571430819;0;0;0,037142857767;0;;0;0,051428570593;0
"2014-01-01 00:00:00";3,7631057255;0;0;0,51428570593;0;0;0,037142857767;0;;0;0,051428570593;0
"2015-01-01 00:00:00";3,2889222483;0;0;0,51428570593;0;0;0,29714285981;0;;0;0,051428570593;0
"2016-01-01 00:00:00";3,0398915006;0;0;0,51428570593;0;0;0,29714285981;0;;0;0,100000001412;0
