;"Oil";"Coal";"Gas";"Hydroelectricity";"Nuclear";"Biomass and Waste";"Wind";"Fuel Ethanol";"Peat";"Geothermal";"Solar, Tide, Wave, Fuel Cell";"Biodiesel"
"1900-01-01 00:00:00";0;0;0;;;;;;;;;
"1901-01-01 00:00:00";0;0;0;;;;;;;;;
"1902-01-01 00:00:00";0;0;0;;;;;;;;;
"1903-01-01 00:00:00";0;0;0;;;;;;;;;
"1904-01-01 00:00:00";0;0;0;;;;;;;;;
"1905-01-01 00:00:00";0;0;0;;;;;;;;;
"1906-01-01 00:00:00";0;0;0;;;;;;;;;
"1907-01-01 00:00:00";0;0;0;;;;;;;;;
"1908-01-01 00:00:00";0;0;0;;;;;;;;;
"1909-01-01 00:00:00";0;0;0;;;;;;;;;
"1910-01-01 00:00:00";0;0;0;;;;;;;;;
"1911-01-01 00:00:00";0;0;0;;;;;;;;;
"1912-01-01 00:00:00";0;0;0;;;;;;;;;
"1913-01-01 00:00:00";0;0;0;;;;;;;;;
"1914-01-01 00:00:00";0;0;0;;;;;;;;;
"1915-01-01 00:00:00";0;0,056987;0;;;;;;;;;
"1916-01-01 00:00:00";0;0,203525;0;;;;;;;;;
"1917-01-01 00:00:00";0;0,683844;0;;;;;;;;;
"1918-01-01 00:00:00";0;1,22115;0;;;;;;;;;
"1919-01-01 00:00:00";0;1,13974;0;;;;;;;;;
"1920-01-01 00:00:00";0;1,489803;0;;;;;;;;;
"1921-01-01 00:00:00";0;1,758456;0;;;;;;;;;
"1922-01-01 00:00:00";0;0,936215;0;;;;;;;;;
"1923-01-01 00:00:00";0;1,449098;0;;;;;;;;;
"1924-01-01 00:00:00";0;1,668905;0;;;;;;;;;
"1925-01-01 00:00:00";0;1,978263;0;;;;;;;;;
"1926-01-01 00:00:00";0;2,68653;0;;;;;;;;;
"1927-01-01 00:00:00";0;2,963324;0;;;;;;;;;
"1928-01-01 00:00:00";0;2,971465;0;;;;;;;;;
"1929-01-01 00:00:00";0;2,857491;0;;;;;;;;;
"1930-01-01 00:00:00";0;2,881914;0;;;;;;;;;
"1931-01-01 00:00:00";0;2,710953;0;;;;;;;;;
"1932-01-01 00:00:00";0;2,084096;0;;;;;;;;;
"1933-01-01 00:00:00";0;1,945699;0;;;;;;;;;
"1934-01-01 00:00:00";0;2,149224;0;;;;;;;;;
"1935-01-01 00:00:00";0;2,132942;0;;;;;;;;;
"1936-01-01 00:00:00";0;2,417877;0;;;;;;;;;
"1937-01-01 00:00:00";0;3,004029;0;;;;;;;;;
"1938-01-01 00:00:00";0;2,995888;0;;;;;;;;;
"1939-01-01 00:00:00";0;2,515569;0;;;;;;;;;
"1940-01-01 00:00:00";0;2,564415;0;;;;;;;;;
"1941-01-01 00:00:00";0;3,036593;0;;;;;;;;;
"1942-01-01 00:00:00";0;3,809988;0;;;;;;;;;
"1943-01-01 00:00:00";0;4,184474;0;;;;;;;;;
"1944-01-01 00:00:00";0;5,079984;0;;;;;;;;;
"1945-01-01 00:00:00";0;4,23332;0;;;;;;;;;
"1946-01-01 00:00:00";0;5,022997;0;;;;;;;;;
"1947-01-01 00:00:00";0;4,795049;0;;;;;;;;;
"1948-01-01 00:00:00";0;5,031138;0;;;;;;;;;
"1949-01-01 00:00:00";0;4,550819;0;;;;;;;;;
"1950-01-01 00:00:00";0;4,827613;0;;;;;;;;;
"1951-01-01 00:00:00";0;4,550819;0;;;;;;;;;
"1952-01-01 00:00:00";0;4,80319;0;;;;;;;;;
"1953-01-01 00:00:00";0;5,796392;0;;;;;;;;;
"1954-01-01 00:00:00";0;5,259086;0;;;;;;;;;
"1955-01-01 00:00:00";0;6,195301;0;;;;;;;;;
"1956-01-01 00:00:00";0;6,5128;0;;;;;;;;;
"1957-01-01 00:00:00";0,01163;6,740748;0;;;;;;;;;
"1958-01-01 00:00:00";2,97728;7,644399;0;;;;;;;;;
"1959-01-01 00:00:00";6,19879;6,138314;0;;;;;;;;;
"1960-01-01 00:00:00";9,73431;4,648511;0;;;;;;;;;
"1961-01-01 00:00:00";25,98142;4,941587;0;;;;;;;;;
"1962-01-01 00:00:00";38,07662;5,161394;0,024086505333333372;;;;;;;;;
"1963-01-01 00:00:00";43,17056;4,852036;0,3733408326666663;;;;;;;;;
"1964-01-01 00:00:00";69,00079;5,487034;0,650335644;;;;;;;;;
"1965-01-01 00:00:00";156,14438;6,02434;1,1802387613333372;;;;;;;;;
"1966-01-01 00:00:00";239,55474;5,21024;2,119612469333337;;;;;;;;;
"1967-01-01 00:00:00";192,48813;1,652623;2,179828732666663;;;;;;;;;
"1968-01-01 00:00:00";81,57282;0;1,770358142;;;;;;;;;
"1969-01-01 00:00:00";309,06725;0,138397;0,7707681706666663;;;;;;;;;
"1970-01-01 00:00:00";630,38089;0,480319;1,336801046;;;;;;;;;
"1971-01-01 00:00:00";888,26451;1,579354;2,215958490666663;;;;;;;;;
"1972-01-01 00:00:00";1057,37634;2,776081;3,287807978;;;;;;;;;
"1973-01-01 00:00:00";1183,52695;2,653966;3,649105558;;;;;;;;;
"1974-01-01 00:00:00";1297,65214;2,474864;4,865474077333337;;;;;;;;;
"1975-01-01 00:00:00";1028,5572;2,230634;4,841387572;;;;;;;;;
"1976-01-01 00:00:00";1203,46077;2,539992;7,611335685333337;;;;;;;;;
"1977-01-01 00:00:00";1197,52947;2,157365;8,008763023333337;;;;;;;;;
"1978-01-01 00:00:00";1102,0588;2,149224;9,622558880666663;;;;;;;;;
"1979-01-01 00:00:00";1331,635;1,400252;12,272074467333372;;;;;;;;;
"1980-01-01 00:00:00";1297,2633491;0,89335734515;11,670466585;7,7828570575;0;0;0;0;;0;0;
"1981-01-01 00:00:00";902,14078635;0,87586282461;23,34093317;6,5457139467;0;0;0;0;;0;0;
"1982-01-01 00:00:00";815,26324423;0,42283014224;15,355876351;6,8399996993;0;0;0;0;;0;0;
"1983-01-01 00:00:00";781,26773079;0,40017855406;24,876518828;5,3028571332;0;0;0;0;;0;0;
"1984-01-01 00:00:00";876,2051304;0,57384104024;29,790400842;7,340000032;0;0;0;0;;0;0;
"1985-01-01 00:00:00";941,17269455;1,05707563472;33,168693709;8,5085716161;0;0;0;0;;0;0;
"1986-01-01 00:00:00";923,54534778;1,08727791899;35,625634716;10,2685713823;0;0;0;0;;0;0;
"1987-01-01 00:00:00";844,22245595;0,88461381811;40,232397505;9,2885715257;0;0;0;0;;0;0;
"1988-01-01 00:00:00";915,34396482;0,61914426312;40,846632466;11,3371429929;0;0;0;0;;0;0;
"1989-01-01 00:00:00";1080,30252411;0,634245539;50,981508741;11,711428608;0;0;0;0;;0;0;
"1990-01-01 00:00:00";1139,47992994;0,67954871536;40,232133504;12,408571513;0;0;0;0;;0;0;
"1991-01-01 00:00:00";1191,102732;0,75505418762;51,595747191;16,774285107;0;0;0;0;;0;0;
"1992-01-01 00:00:00";1226,5609738;0,65689712718;53,144693393;17,137143433;0;0;0;0;;0;0;
"1993-01-01 00:00:00";1233,9120642;0,21141507112;54,771588507;15,760000243;0;0;0;0;;0;0;
"1994-01-01 00:00:00";1215,6069094;0,18876348294;49,347642605;15,731427659;0;0;0;0;;0;0;
"1995-01-01 00:00:00";1254,5318216;0,151010898;56,288503363;15,557142805;0;0;0;0;;0;0;
"1996-01-01 00:00:00";1262,9211221;0,12835928656;59,218373668;15,557142805;0;0;0;0;;0;0;
"1997-01-01 00:00:00";1342,5321937;0,075505449;63,448253514;15,819999413;0;0;0;0;;0;0;
"1998-01-01 00:00:00";1355,7025872;0,090606421337;63,990548784;16,334284991;0;0;0;0;;0;0;
"1999-01-01 00:00:00";1340,8487512;0,12080866025;75,378698282;17,394285059;0;0;0;0;;0;0;
"2000-01-01 00:00:00";1366,7032879;0,022645150975;135,13935559;16,2457144;0;0;0;0;;0;0;0
"2001-01-01 00:00:00";1420,3561995;0,17366249781;161,60324614;16,714285937;0;0;0;0;;0;0;0
"2002-01-01 00:00:00";1333,2941358;0,30957213156;154,01115888;23,291430075;0;0;0;0;;0;0;0
"2003-01-01 00:00:00";1432,2194973;0,17366249781;220,17087944;21,06857073;0;0;0;0;;0;0;0
"2004-01-01 00:00:00";1470,2078456;0,022645150975;236,43965613;22,934285568;0;0;0;0;;0;0;0
"2005-01-01 00:00:00";1654,0958232;0,060404183587;242,94716448;21,971428564;0;0;0;0;;0;0;0
"2006-01-01 00:00:00";1536,0082922;0,11703348084;309,10687341;17,714285672;0;0;0;0;;0;0;0
"2007-01-01 00:00:00";1479,2110938;0,17366249781;352,4902973;17,614285117;0;0;0;0;;0;0;0
"2008-01-01 00:00:00";1366,9810123;0,20620522654;356,01519911;16,182856576;0;0;0;0;;0;0;0
"2009-01-01 00:00:00";1390,2356625;0,29078633212;280,0871508;12,811428898;0;0;0;0;;0;0;0
"2010-01-01 00:00:00";1539,2550393;0,30664263923;314,4213531;18,028572466;0;0;0,0057142855956;0;;0;0;0
"2011-01-01 00:00:00";1580,6310903;0,29608241315;448,18329801;16,639999312;0;0;0,0057142855956;0;;0;0;0
"2012-01-01 00:00:00";1574,4561418;0,48586638207;461,7189084;16,005714231;0;0;0,0057142855956;0;;0;0,059999998056;0
"2013-01-01 00:00:00";1475,8536291;0,332223743;416,60017221;15,065714829;0;0;0,0057142855956;0;;0;0,062857143645;0
"2014-01-01 00:00:00";1500,9475638;0,34732499562;475,49315476;15,122857671;0;0;0,0085714287423;0;;0;0,062857143645;0
"2015-01-01 00:00:00";1387,7647527;0,35487533118;489,66868264;16,174285266;0;0;0,0085714287423;0;;0;0,068571430171;0
"2016-01-01 00:00:00";1203,7245384;0,34732499562;452,92324407;15,799999302;0;0;0,0085714287423;0;;0;0,074285716697;0
