;"Oil";"Coal";"Gas";"Hydroelectricity";"Nuclear";"Biomass and Waste";"Wind";"Fuel Ethanol";"Peat";"Geothermal";"Solar, Tide, Wave, Fuel Cell";"Biodiesel"
"1900-01-01 00:00:00";0;;0;;;;;;;;;
"1901-01-01 00:00:00";0;;0;;;;;;;;;
"1902-01-01 00:00:00";0;;0;;;;;;;;;
"1903-01-01 00:00:00";0;;0;;;;;;;;;
"1904-01-01 00:00:00";0;;0;;;;;;;;;
"1905-01-01 00:00:00";0;;0;;;;;;;;;
"1906-01-01 00:00:00";0;;0;;;;;;;;;
"1907-01-01 00:00:00";0;;0;;;;;;;;;
"1908-01-01 00:00:00";0;;0;;;;;;;;;
"1909-01-01 00:00:00";0;;0;;;;;;;;;
"1910-01-01 00:00:00";0;;0;;;;;;;;;
"1911-01-01 00:00:00";0;;0;;;;;;;;;
"1912-01-01 00:00:00";0;;0;;;;;;;;;
"1913-01-01 00:00:00";0;;0;;;;;;;;;
"1914-01-01 00:00:00";0;;0;;;;;;;;;
"1915-01-01 00:00:00";0;;0;;;;;;;;;
"1916-01-01 00:00:00";0;;0;;;;;;;;;
"1917-01-01 00:00:00";0;;0;;;;;;;;;
"1918-01-01 00:00:00";0;;0;;;;;;;;;
"1919-01-01 00:00:00";0;;0;;;;;;;;;
"1920-01-01 00:00:00";0;;0;;;;;;;;;
"1921-01-01 00:00:00";0;;0;;;;;;;;;
"1922-01-01 00:00:00";0;;0;;;;;;;;;
"1923-01-01 00:00:00";0;;0;;;;;;;;;
"1924-01-01 00:00:00";0;;0;;;;;;;;;
"1925-01-01 00:00:00";0;;0;;;;;;;;;
"1926-01-01 00:00:00";0;;0;;;;;;;;;
"1927-01-01 00:00:00";0;;0;;;;;;;;;
"1928-01-01 00:00:00";0;;0;;;;;;;;;
"1929-01-01 00:00:00";0;;0;;;;;;;;;
"1930-01-01 00:00:00";0;;0;;;;;;;;;
"1931-01-01 00:00:00";0;;0;;;;;;;;;
"1932-01-01 00:00:00";0;;0;;;;;;;;;
"1933-01-01 00:00:00";0;;0;;;;;;;;;
"1934-01-01 00:00:00";0;;0;;;;;;;;;
"1935-01-01 00:00:00";0;;0;;;;;;;;;
"1936-01-01 00:00:00";0;;0;;;;;;;;;
"1937-01-01 00:00:00";0;;0;;;;;;;;;
"1938-01-01 00:00:00";0;;0;;;;;;;;;
"1939-01-01 00:00:00";0;;0;;;;;;;;;
"1940-01-01 00:00:00";0;;0;;;;;;;;;
"1941-01-01 00:00:00";0;;0;;;;;;;;;
"1942-01-01 00:00:00";0;;0;;;;;;;;;
"1943-01-01 00:00:00";0;;0;;;;;;;;;
"1944-01-01 00:00:00";0;;0;;;;;;;;;
"1945-01-01 00:00:00";0;;0;;;;;;;;;
"1946-01-01 00:00:00";0;;0;;;;;;;;;
"1947-01-01 00:00:00";0;;0;;;;;;;;;
"1948-01-01 00:00:00";0;;0;;;;;;;;;
"1949-01-01 00:00:00";0;;0;;;;;;;;;
"1950-01-01 00:00:00";0;;0;;;;;;;;;
"1951-01-01 00:00:00";0;;0;;;;;;;;;
"1952-01-01 00:00:00";0;;0;;;;;;;;;
"1953-01-01 00:00:00";0;;0;;;;;;;;;
"1954-01-01 00:00:00";0;;0;;;;;;;;;
"1955-01-01 00:00:00";0;;0;;;;;;;;;
"1956-01-01 00:00:00";0,09304;;0;;;;;;;;;
"1957-01-01 00:00:00";0,1163;;0;;;;;;;;;
"1958-01-01 00:00:00";0,59313;;0;;;;;;;;;
"1959-01-01 00:00:00";0,59313;;0;;;;;;;;;
"1960-01-01 00:00:00";0,77921;;0;;;;;;;;;
"1961-01-01 00:00:00";1,20952;;0;;;;;;;;;
"1962-01-01 00:00:00";5,47773;;0;;;;;;;;;
"1963-01-01 00:00:00";9,304;;0;;;;;;;;;
"1964-01-01 00:00:00";10,52515;;0;;;;;;;;;
"1965-01-01 00:00:00";7,61765;;0;;;;;;;;;
"1966-01-01 00:00:00";7,33853;;0;;;;;;;;;
"1967-01-01 00:00:00";6,24531;;0;;;;;;;;;
"1968-01-01 00:00:00";8,7225;;0;;;;;;;;;
"1969-01-01 00:00:00";28,58654;;0;;;;;;;;;
"1970-01-01 00:00:00";58,90595;;0,5178598646666662;;;;;;;;;
"1971-01-01 00:00:00";66,53523;;0,5178598646666662;;;;;;;;;
"1972-01-01 00:00:00";82,07291;;0,686465402;;;;;;;;;
"1973-01-01 00:00:00";94,83102;;0,7828114233333338;;;;;;;;;
"1974-01-01 00:00:00";99,33183;;0,8189411813333326;;;;;;;;;
"1975-01-01 00:00:00";90,60933;;0,7828114233333338;;;;;;;;;
"1976-01-01 00:00:00";87,96932;;0,686465402;;;;;;;;;
"1977-01-01 00:00:00";88,41126;;0,8550709393333326;;;;;;;;;
"1978-01-01 00:00:00";75,23447;;0,8550709393333326;;;;;;;;;
"1979-01-01 00:00:00";102,05325;;0,8550709393333326;;;;;;;;;
"1980-01-01 00:00:00";93,853353354;0;2,8254814021;1,5142857782;0;0;0;0;;0;0;
"1981-01-01 00:00:00";81,117335702;0;2,7026344099;1,5142857782;0;0;0;0;;0;0;
"1982-01-01 00:00:00";76,125498961;0;3,0711753865;1,7142856089;0;0;0;0;;0;0;
"1983-01-01 00:00:00";110,444372921;0;3,6854102312;1,7142856089;0;0;0;0;;0;0;
"1984-01-01 00:00:00";130,14331693;0;3,6854102312;1,7142856089;0;0;0;0;;0;0;
"1985-01-01 00:00:00";144,13926598;0;3,992527828;1,7142856089;0;0;0;0;;0;0;
"1986-01-01 00:00:00";175,96222564;0;4,2996455411;1,8857143675;0;0;0;0;;0;0;
"1987-01-01 00:00:00";224,6326359;0;4,9138803858;1,8857143675;0;0;0;0;;0;0;
"1988-01-01 00:00:00";282,81145504;0;5,5281155794;1,8857143675;0;0;0;0;;0;0;
"1989-01-01 00:00:00";283,91067612;0;4,6067631379;1,9057142459;0;0;0;0;;0;0;
"1990-01-01 00:00:00";296,39027088;0;5,8349614994;2,0514286093;0;0;0;0;;0;0;
"1991-01-01 00:00:00";311,9897527;0;6,142350773;2,042857183;0;0;0;0;;0;0;
"1992-01-01 00:00:00";329,11243888;0;6,1821378171;2,377142925;0;0;0;0;;0;0;
"1993-01-01 00:00:00";317,60557732;0;6,0736794609;2,5171428879;0;0;0;0;;0;0;
