;"Oil";"Coal";"Gas";"Hydroelectricity";"Nuclear";"Biomass and Waste";"Wind";"Fuel Ethanol";"Peat";"Geothermal";"Solar, Tide, Wave, Fuel Cell";"Biodiesel"
"1994-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;
"1995-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;
"1996-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;
"1997-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0,0028571427978;
"1998-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0,0028571427978;
"1999-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0,0028571427978;
"2000-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0,0028571427978;0
"2001-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0,0028571427978;0
"2002-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0,0028571427978;0
"2003-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0,0028571427978;0
"2004-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0,0028571427978;0
"2005-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0,0028571427978;0
"2006-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0,0057142855956;0
"2007-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0,0057142855956;0
"2008-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0,0057142855956;0
"2009-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0,0057142855956;0
"2010-01-01 00:00:00";0;0;0;0;0;0;0,0057142855956;0;;0;0,0057142855956;0
"2011-01-01 00:00:00";0;0;0;0;0;0;0,0057142855956;0;;0;0,0057142855956;0
"2012-01-01 00:00:00";0;0;0;0;0;0;0,0057142855956;0;;0;0,0057142855956;0
"2013-01-01 00:00:00";0;0;0;0;0;0;0,0057142855956;0;;0;0,0057142855956;0
"2014-01-01 00:00:00";0;0;0;0;0;0;0,0057142855956;0;;0;0,0057142855956;0
"2015-01-01 00:00:00";0;0;0;0;0;0;0,0057142855956;0;;0;0,0057142855956;0
"2016-01-01 00:00:00";0;0;0;0;0;0;0,0057142855956;0;;0;0,057142857119;0
