;"Oil";"Coal";"Gas";"Hydroelectricity";"Nuclear";"Biomass and Waste";"Wind";"Fuel Ethanol";"Peat";"Geothermal";"Solar, Tide, Wave, Fuel Cell";"Biodiesel"
"1980-01-01 00:00:00";0;0;0;0,42285713547;0;0;0;0;;0;0;
"1981-01-01 00:00:00";0;0;0;0,42285713547;0;0;0;0;;0;0;
"1982-01-01 00:00:00";0;0;0;0,42285713547;0;0;0;0;;0;0;
"1983-01-01 00:00:00";0;0;0;0,4371428576;0;0;0;0;;0;0;
"1984-01-01 00:00:00";0;0;0;0,44285713017;0;0;0;0;;0;0;
"1985-01-01 00:00:00";0;0;0;0,46000001766;0;0;0;0;;0;0;
"1986-01-01 00:00:00";0;0;0;0,46571430186;0;0;0;0;;0;0;
"1987-01-01 00:00:00";0;0;0;0,47142858606;0;0;0;0;;0;0;
"1988-01-01 00:00:00";0;0;0;0,47999997747;0;0;0;0;;0;0;
"1989-01-01 00:00:00";0;0;0;0,48571430819;0;0;0;0;;0;0;
"1990-01-01 00:00:00";0;0;0;0,49428571123;0;0;0;0;;0;0;
"1991-01-01 00:00:00";0;0;0;0,50285714916;0;0;0;0;;0;0;
"1992-01-01 00:00:00";0;0;0;0,50857143336;0;0;0;0;;0;0;
"1993-01-01 00:00:00";0;0;0;0,51428570593;0;0;0;0;;0;0;
"1994-01-01 00:00:00";0;0;0;0,51999999013;0;0;0;0;;0;0;
"1995-01-01 00:00:00";0;0;0;0,54571428066;0;0;0;0;;0;0;
"1996-01-01 00:00:00";0;0;0;0,55714283743;0;0;0;0;;0;0;
"1997-01-01 00:00:00";0;0;0;0,81428569621;0;0;0;0;;0;0;
"1998-01-01 00:00:00";0;0;0;0,87714282241;0;0;0;0;;0;0;
"1999-01-01 00:00:00";0;0;0;1,11714288674;0;0;0;0;;0;0;
"2000-01-01 00:00:00";0;0;0;1,16000000661;0;0;0;0;;0;0;0
"2001-01-01 00:00:00";0;0;0;1,5600000518;0;0;0;0;;0;0;0
"2002-01-01 00:00:00";0;0;0;1,6828570458;0;0;0;0;;0;0;0
"2003-01-01 00:00:00";0;0;0;1,13142856235;0;0;0;0;;0;0;0
"2004-01-01 00:00:00";0;0;0;1,5685714781;0;0;0;0;;0;0;0
"2005-01-01 00:00:00";0;0;0;1,3971428358;0;0;0;0;;0;0;0
"2006-01-01 00:00:00";0;0;0;1,3028571465;0;0;0;0;;0;0;0
"2007-01-01 00:00:00";0;0;0;1,5228572045;0;0;0;0;;0;0;0
"2008-01-01 00:00:00";0;0;0;1,4971429256;0;0;0;0;;0;0;0
"2009-01-01 00:00:00";0;0;0;1,4771428146;0;0;0;0;;0;0,0025714284715;0
"2010-01-01 00:00:00";0;0;0;1,3771428411;0;0;0;0;;0;0,0025714284715;0
"2011-01-01 00:00:00";0;0;0;1,1800000362;0;0;0;0;;0;0,0025714284715;0
"2012-01-01 00:00:00";0;0;0;1,3999999779;0;0;0;0;;0;0,0025714284715;0
"2013-01-01 00:00:00";0;0;0;1,374285699;0;0;0;0;;0;0,0028571427978;0
"2014-01-01 00:00:00";0;0;0;1,2285714519;0;0;0;0;;0;0,0057142855956;0
"2015-01-01 00:00:00";0;0;0;1,08571431201;0;0;0;0;;0;0,0085714287423;0
"2016-01-01 00:00:00";0;0;0;1,12857144351;0;0;0;0;;0;0,0085714287423;0
