;"Oil";"Coal";"Gas";"Hydroelectricity";"Nuclear";"Biomass and Waste";"Wind";"Fuel Ethanol";"Peat";"Geothermal";"Solar, Tide, Wave, Fuel Cell";"Biodiesel"
"1980-01-01 00:00:00";0;0;0;0,23428571035;0;0;0;0;;0;0;
"1981-01-01 00:00:00";0;0;0;0,16857143042;0;0;0;0;;0;0;
"1982-01-01 00:00:00";0;0;0;0,26571427345;0;0;0;0;;0;0;
"1983-01-01 00:00:00";0;0;0;0,100000001412;0;0;0;0;;0;0;
"1984-01-01 00:00:00";0;0;0;0,18571428302;0;0;0;0;;0;0;
"1985-01-01 00:00:00";0;0;0;0,32571429244;0;0;0;0;;0;0;
"1986-01-01 00:00:00";0;0;0;0,31142857031;0;0;0;0;;0;0;
"1987-01-01 00:00:00";0;0;0;0,39714284494;0;0;0;0;;0;0;
"1988-01-01 00:00:00";0;0;0;0,28285713768;0;0;0;0;;0;0;
"1989-01-01 00:00:00";0;0;0;0,42000001663;0;0;0;0;;0;0;
"1990-01-01 00:00:00";0;0;0;0,23999999455;0;0;0;0;;0;0;
"1991-01-01 00:00:00";0;0;0;0,21142856192;0;0;0;0;;0;0;
"1992-01-01 00:00:00";0;0;0;0,32000000824;0;0;0;0;;0;0;
"1993-01-01 00:00:00";0;0;0;0,29428572934;0;0;0;0;;0;0;
"1994-01-01 00:00:00";0;0;0;0,21428570402;0;0;0;0;;0;0;
"1995-01-01 00:00:00";0;0;0;0,38285712281;0;0;0;0;;0;0;
"1996-01-01 00:00:00";0;0;0;0,29142856398;0;0;0;0;;0;0;
"1997-01-01 00:00:00";0;0;0;0,26285713135;0;0;0;0;;0;0;
"1998-01-01 00:00:00";0;0;0;0,29714285981;0;0;0;0;;0;0;
"1999-01-01 00:00:00";0;0;0;0,085714283934;0;0,77777777713;0;0;;0;0;
"2000-01-01 00:00:00";0;0;0;0,27142858091;0;1,13888889334;0;0;;0;0;0
"2001-01-01 00:00:00";0;0;0;0,20000000515;0;1,2499999595;0;0;;0;0;0
"2002-01-01 00:00:00";0;0;0;0,24285714828;0;1,1944444962;0;0;;0;0;0
"2003-01-01 00:00:00";0;0;0;0,33428570711;0;1,1944444962;0;0;;0;0;0
"2004-01-01 00:00:00";0;0;0;0,34571429877;0;1,2499999595;0,00114285717727;0;;0;0;0
"2005-01-01 00:00:00";0;0;0;0,32285715034;0;1,1944444962;0,00114285717727;0;;0;0;0
"2006-01-01 00:00:00";0;0;0;0,21677141881;0;1,1666667064;0,00114285717727;0;;0;0;0
"2007-01-01 00:00:00";0;0;0;0,23720000227;0;1,222222286;0,00114285717727;0;;0;0;0
"2008-01-01 00:00:00";0;0;0;0,30571428611;0;1,3500000493;0,00114285717727;0;;0;0;0
"2009-01-01 00:00:00";0;0;0;0,34571429877;0;1,3472222238;0,0028571427978;0,14680736243;;0;0;0
"2010-01-01 00:00:00";0;0;0;0,28571427978;0;1,5277777412;0,0085714287423;0,17616897215;;0;0;0
"2011-01-01 00:00:00";0;0;0;0,15714285039;0;1,3694443626;0,0085714287423;0,16442433524;;0;0;0
"2012-01-01 00:00:00";0;0;0;0,20857141982;0;1,3888889085;0,0114285711912;0,14680736243;;0;0,0028571427978;0
"2013-01-01 00:00:00";0;0;0;0,26857143881;0;1,3694443626;0,0114285711912;0,14093503816;;0;0,0085714287423;0
"2014-01-01 00:00:00";0;0;0;0,25714285878;0;1,325000085;0,0085714287423;0,2055302446;;0;0,071428569945;0
"2015-01-01 00:00:00";0;0;0;0,34571429877;0;1,4722222779;0,0085714287423;0,17616897215;;0;0,074285716697;0
"2016-01-01 00:00:00";0;0;0;0,28285713768;0;1,4333333024;0,051428570593;0,17616897215;;0;0,085714283934;0
