;"Oil";"Coal";"Gas";"Hydroelectricity";"Nuclear";"Biomass and Waste";"Wind";"Fuel Ethanol";"Peat";"Geothermal";"Solar, Tide, Wave, Fuel Cell";"Biodiesel"
"1990-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;
"1991-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;
"1992-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;
"1993-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;
"1994-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;
"1995-01-01 00:00:00";0;0;0;3,2000000824;0;0;0;0;;0;0;
"1996-01-01 00:00:00";0;0;0;2,4142857723;0;0;0;0;;0;0;
"1997-01-01 00:00:00";0;0;0;1,7257142936;0;0;0;0;;0;0;
"1998-01-01 00:00:00";0;0;0;2,80571424;0;0;0;0;;0;0;
"1999-01-01 00:00:00";0;0;0;3,3057144564;0;0;0;0;;0;0;
"2000-01-01 00:00:00";0;0;0;3,902857039;0;0;0;0;;0;0;0
"2001-01-01 00:00:00";0;0;0;3,874285618;0;0;0;0;;0;0;0
"2002-01-01 00:00:00";0;0;0;4,1314285233;0;0;0;0;;0;0;0
"2003-01-01 00:00:00";0;0;0;4,2771427704;0;0;0;0;;0;0;0
"2004-01-01 00:00:00";0;0;0;4,5314286499;0;0;0;0;;0;0;0
"2005-01-01 00:00:00";0;0;0;4,6885713491;0;0;0;0;;0;0;0
"2006-01-01 00:00:00";0;0;0;4,542857102;0;0;0;0;;0;0;0
"2007-01-01 00:00:00";0;0;0;4,4571427227;0;0;0;0;;0;0;0
"2008-01-01 00:00:00";0;0;0;4,2171430189;0;0;0;0;;0;0;0
"2009-01-01 00:00:00";0;0;0;3,9857143925;0;0;0,00028571429141;0;;0;0;0
"2010-01-01 00:00:00";0;0;0;3,5285715402;0;0;0,00028571429141;0;;0;0;0
"2011-01-01 00:00:00";0;0;0;3,9714285657;0;0;0,00028571429141;0;;0;0;0
"2012-01-01 00:00:00";0;0;0;4,5457141278;0;0;0,00028571429141;0;;0;0;0
"2013-01-01 00:00:00";0;0;0;3,597142718;0;0;0,00028571429141;0;;0;0;0
"2014-01-01 00:00:00";0;0;0;4,2000001663;0;0;0,00028571429141;0;;0;0;0
"2015-01-01 00:00:00";0;0;0;4,2485713494;0;0;0,00028571429141;0;;0;0;0
"2016-01-01 00:00:00";0;0;0;3,8428572875;0;0;0,00028571429141;0;;0;0;0
