;"Oil";"Coal";"Gas";"Hydroelectricity";"Nuclear";"Biomass and Waste";"Wind";"Fuel Ethanol";"Peat";"Geothermal";"Solar, Tide, Wave, Fuel Cell";"Biodiesel"
"1980-01-01 00:00:00";0;0;0;0,31714284288;0;0;0;0;;0;0;
"1981-01-01 00:00:00";0;0;0;0,29428572934;0;0;0;0;;0;0;
"1982-01-01 00:00:00";0;0;0;0,38000000397;0;0;0;0;;0;0;
"1983-01-01 00:00:00";0;0;0;0,4314285734;0;0;0;0;;0;0;
"1984-01-01 00:00:00";0;0;0;0,46000001766;0;0;0;0;;0;0;
"1985-01-01 00:00:00";0;0;0;0,4628571365;0;0;0;0;;0;0;
"1986-01-01 00:00:00";0;0;0;0,4257142892;0;0;0;0;;0;0;
"1987-01-01 00:00:00";0;0;0;0,4685714207;0;0;0;0;;0;0;
"1988-01-01 00:00:00";0;0;0;0,47714285863;0;0;0;0;;0;0;
"1989-01-01 00:00:00";0;0;0;0,48857142703;0;0;0;0;;0;0;
"1990-01-01 00:00:00";0;0;0;0,47142858606;0;0;0;0;;0;0;
"1991-01-01 00:00:00";0;0;0;0,46571430186;0;0;0;0;;0;0;
"1992-01-01 00:00:00";0;0;0;0,48571430819;0;0;0;0;;0;0;
"1993-01-01 00:00:00";0;0;0;0,4371428576;0;0;0;0;;0;0;
"1994-01-01 00:00:00";0;0;0;0,44571429553;0;0;0;0;;0;0;
"1995-01-01 00:00:00";0;0;0;0,45142857973;0;0;0;0;;0;0;
"1996-01-01 00:00:00";0;0;0;0,4000000103;0;0;0;0;;0;0;
"1997-01-01 00:00:00";0;0;0;0,45714286393;0;0;0;0;;0;0;
"1998-01-01 00:00:00";0;0;0;0,45714286393;0;0;0;0;;0;0;
"1999-01-01 00:00:00";0;0;0;0,36285713974;0;0;0;0;;0;0;
"2000-01-01 00:00:00";0;0;0;0,31428571241;0;0;0;0;;0;0;0
"2001-01-01 00:00:00";0;0;0;0,25142857458;0;0;0;0;;0;0;0
"2002-01-01 00:00:00";0;0;0;0,27714286511;0;0;0;0;;0;0;0
"2003-01-01 00:00:00";0;0;0;0,33142857664;0;0;0;0;;0;0;0
"2004-01-01 00:00:00";0;0;0;0,23714285245;0;0;0;0;;0;0;0
"2005-01-01 00:00:00";0;0;0;0,18571428302;0;0;0;0;;0;0;0
"2006-01-01 00:00:00";0;0;0;0,108571433527;0;0;0;0;;0;0;0
"2007-01-01 00:00:00";0;0;0;0,11999999146;0;0;0;0;;0;0,00057142858282;0
"2008-01-01 00:00:00";0;0;0;0,19428572095;0;0;0;0;;0;0,00057142858282;0
"2009-01-01 00:00:00";0;0;0;0,27999999558;0;0;0;0;;0;0,00057142858282;0
"2010-01-01 00:00:00";0;0;0;0,31428571241;0;0;0;0;;0;0,00057142858282;0
"2011-01-01 00:00:00";0;0;0;0,37142855441;0;0;0;0;;0;0,00057142858282;0
"2012-01-01 00:00:00";0;0;0;0,38571428817;0;0;0;0;;0;0;0
"2013-01-01 00:00:00";0;0;0;0,67999998262;0;0;0;0;;0;0;0
"2014-01-01 00:00:00";0;0;0;0,85714282771;0;0;0;0;;0;0;0
"2015-01-01 00:00:00";0;0;0;0,92857140347;0;0;0;0;;0;0;0
"2016-01-01 00:00:00";0;0;0;0,92857140347;0;0;0;0;;0;0;0
