;"Oil";"Coal";"Gas";"Hydroelectricity";"Nuclear";"Biomass and Waste";"Wind";"Fuel Ethanol";"Peat";"Geothermal";"Solar, Tide, Wave, Fuel Cell";"Biodiesel"
"1900-01-01 00:00:00";;6,680081268;;;0;;;;;;;
"1901-01-01 00:00:00";;11,209863924;;;0;;;;;;;
"1902-01-01 00:00:00";;16,710314292;;;0;;;;;;;
"1903-01-01 00:00:00";;22,325357376;;;0;;;;;;;
"1904-01-01 00:00:00";;25,156471536;;;0;;;;;;;
"1905-01-01 00:00:00";;28,762771716;;;0;;;;;;;
"1906-01-01 00:00:00";;32,888109492;;;0;;;;;;;
"1907-01-01 00:00:00";;36,292187232;;;0;;;;;;;
"1908-01-01 00:00:00";;37,316780928;;;0;;;;;;;
"1909-01-01 00:00:00";;42,958787004;;;0;;;;;;;
"1910-01-01 00:00:00";;48,708645048;;;0;;;;;;;
"1911-01-01 00:00:00";;46,88190234;;;0;;;;;;;
"1912-01-01 00:00:00";;49,766942484;;;0;;;;;;;
"1913-01-01 00:00:00";;54,451762344;;;0;;;;;;;
"1914-01-01 00:00:00";;52,786797588;;;0;;;;;;;
"1915-01-01 00:00:00";;53,096871996;;;0;;;;;;;
"1916-01-01 00:00:00";;62,567622936;;;0;;;;;;;
"1917-01-01 00:00:00";;66,955849884;;;0;;;;;;;
"1918-01-01 00:00:00";;63,747253836;;;0;;;;;;;
"1919-01-01 00:00:00";;66,376145556;;;0;;;;;;;
"1920-01-01 00:00:00";;73,629190404;;;0;;;;;;;
"1921-01-01 00:00:00";;72,90118962;;;0;;;;;;;
"1922-01-01 00:00:00";;62,500215456;;;0;;;;;;;
"1923-01-01 00:00:00";;75,853637244;;;0;;;;;;;
"1924-01-01 00:00:00";;79,67564136;;;0;;;;;;;
"1925-01-01 00:00:00";;83,052756108;;;0;;;;;;;
"1926-01-01 00:00:00";;87,2926866;;;0;;;;;;;
"1927-01-01 00:00:00";;84,79860984;;;0;;;;;;;
"1928-01-01 00:00:00";;84,973869288;;;0;;;;;;;
"1929-01-01 00:00:00";;87,751057464;;;0;;;;;;;
"1930-01-01 00:00:00";;82,392162804;;;0;;;;;;;
"1931-01-01 00:00:00";;73,346078988;;;0;;;;;;;
"1932-01-01 00:00:00";;66,874960908;;;0;;;;;;;
"1933-01-01 00:00:00";;72,22711482;;;0;;;;;;;
"1934-01-01 00:00:00";;82,196681112;;;0;;;;;;;
"1935-01-01 00:00:00";;91,498913352;;;0;;;;;;;
"1936-01-01 00:00:00";;100,046181816;;;0;;;;;;;
"1937-01-01 00:00:00";;104,420927268;;;0;;;;;;;
"1938-01-01 00:00:00";;109,766340432;;;0;;;;;;;
"1939-01-01 00:00:00";;113,85123372;;;0;;;;;;;
"1940-01-01 00:00:00";;117,915904764;;;0;;;;;;;
"1941-01-01 00:00:00";;125,910431892;;;0;;;;;;;
"1942-01-01 00:00:00";;137,565185184;;;0;;;;;;;
"1943-01-01 00:00:00";;138,58977888;;;0;;;;;;;
"1944-01-01 00:00:00";;154,949574276;;;0;;;;;;;
"1945-01-01 00:00:00";;158,771578392;;;0;;;;;;;
"1946-01-01 00:00:00";;159,095134296;;;0;;;;;;;
"1947-01-01 00:00:00";;158,394096504;;;0;;;;;;;
"1948-01-01 00:00:00";;161,939729952;;;0;;;;;;;
"1949-01-01 00:00:00";;171,862111008;;;0;;;;;;;
"1950-01-01 00:00:00";;178,447821804;;;0;;;;;;;
"1951-01-01 00:00:00";;179,519600736;;;0;;;;;;;
"1952-01-01 00:00:00";;189,17909262;;;0;;;;;;;
"1953-01-01 00:00:00";;191,834947332;;;0;;;;;;;
"1954-01-01 00:00:00";;197,598286872;;;0;;;;;;;
