;"Oil";"Coal";"Gas";"Hydroelectricity";"Nuclear";"Biomass and Waste";"Wind";"Fuel Ethanol";"Peat";"Geothermal";"Solar, Tide, Wave, Fuel Cell";"Biodiesel"
"1980-01-01 00:00:00";0;0;0;1,4142858047;0;1,416666582;0;0;;0;0;
"1981-01-01 00:00:00";0;0;0;2,1114284771;0;1,416666582;0;0;;0;0;
"1982-01-01 00:00:00";0;0;0;2,1828571459;0;1,416666582;0;0;;0;0;
"1983-01-01 00:00:00";0;0;0;2,1828571459;0;1,416666582;0;0;;0;0;
"1984-01-01 00:00:00";0;0;0;2,1428571565;0;1,416666582;0;0;;0;0;
"1985-01-01 00:00:00";0;0;0;2,6114285772;0;1,416666582;0;0;;0;0;
"1986-01-01 00:00:00";0;0;0;2,6114285772;0;1,416666582;0;0;;0;0;
"1987-01-01 00:00:00";0;0;0;2,6171427451;0;1,416666582;0;0;;0;0;
"1988-01-01 00:00:00";0;0;0;2,6228572619;0;1,416666582;0;0;;0;0;
"1989-01-01 00:00:00";0;0;0;2,6457142824;0;1,416666582;0;0;;0;0;
"1990-01-01 00:00:00";0;0;0;2,7085715249;0;1,416666582;0;0;;0;0;
"1991-01-01 00:00:00";0;0;0;2,9371426603;0;1,416666582;0;0;;0;0;
"1992-01-01 00:00:00";0,16374409654;0;0;3,0799998816;0;1,416666582;0;0;;0;0;
"1993-01-01 00:00:00";0,16329676022;0;0;3,0857142821;0;1,416666582;0;0;;0;0;
"1994-01-01 00:00:00";0,054432253019;0;0;3,1714286614;0;1,416666582;0;0;;0;0;
"1995-01-01 00:00:00";0,108864507201;0;0;2,7485715143;0;1,416666582;0;0;;0;0;
"1996-01-01 00:00:00";1,08745217128;0;0;3,0371429827;0;1,416666582;0;0;;0;0;
"1997-01-01 00:00:00";2,7102790415;0;0;2,9799999081;0;1,416666582;0;0;;0;0;
"1998-01-01 00:00:00";5,4432256508;0;0;2,9514286034;0;1,416666582;0;0;;0;0;
"1999-01-01 00:00:00";37,617908377;0;0;3,4228572825;0;1,416666582;0;0;;0;0;
"2000-01-01 00:00:00";101,521376373;0;0;3,3457142132;0;1,416666582;0;0;;0;0;0
"2001-01-01 00:00:00";113,834995914;0;0;3,5857142659;0;1,416666582;0;0;;0;0;0
"2002-01-01 00:00:00";129,96633159;0;0;3,6399999658;0;1,416666582;0;0;;0;0;0
"2003-01-01 00:00:00";146,82542382;0;0;3,2885714875;0;1,416666582;0;0;;0;0;0
"2004-01-01 00:00:00";186,94871448;0;0;3,1314285557;0;1,416666582;0;0;;0;0;0
"2005-01-01 00:00:00";190,51290243;0;0;3,5657143875;0;1,416666582;0;0;;0;0;0
"2006-01-01 00:00:00";205,81358629;0;0;3,874285618;0;1,416666582;0;0;;0;0;0
"2007-01-01 00:00:00";252,44188485;0;0;4,1028572186;0;1,416666582;0;0;;0;0;0
"2008-01-01 00:00:00";260,79016634;0;0;4,1371430401;0;0;0;0;;0;0;0
"2009-01-01 00:00:00";263,15385917;0;0;9,1314288265;0;0;0;0;;0;0,0057142855956;0
"2010-01-01 00:00:00";264,65110537;0;0;17,542855983;0;0;0;0;;0;0,0114285711912;0
"2011-01-01 00:00:00";246,71978529;0;0;18,291429074;0;0;0;0;;0;0,017142857252;0
"2012-01-01 00:00:00";50,234785983;0;0;18,722856717;0;0;0;0,23491127642;;0;0,037142857767;0
"2013-01-01 00:00:00";72,833266931;0;0;23,52000028;0;0;0;0,29363927579;;0;0,037142857767;0
"2014-01-01 00:00:00";61,891017448;0;0;25,211427938;0;0;0;0,22903860325;;0;0,037142857767;0
"2015-01-01 00:00:00";58,987876372;0;0;23,817143291;0;0;0;0,14681963208;;0;0,054285717345;0
"2016-01-01 00:00:00";57,240364202;0;0;22,771428352;0;0;0;0,26427528192;;0;0,059999998056;0
