,Country Name,Year,GDP_PPP
0,Aruba,1960,
1,Africa Eastern and Southern,1960,
2,Afghanistan,1960,
3,Africa Western and Central,1960,
4,Angola,1960,
5,Albania,1960,
6,Andorra,1960,
7,Arab World,1960,
8,United Arab Emirates,1960,
9,Argentina,1960,
10,Armenia,1960,
11,American Samoa,1960,
12,Antigua and Barbuda,1960,
13,Australia,1960,
14,Austria,1960,
15,Azerbaijan,1960,
16,Burundi,1960,
17,Belgium,1960,
18,Benin,1960,
19,Burkina Faso,1960,
20,Bangladesh,1960,
21,Bulgaria,1960,
22,Bahrain,1960,
23,"Bahamas, The",1960,
24,Bosnia and Herzegovina,1960,
25,Belarus,1960,
26,Belize,1960,
27,Bermuda,1960,
28,Bolivia,1960,
29,Brazil,1960,
30,Barbados,1960,
31,Brunei Darussalam,1960,
32,Bhutan,1960,
33,Botswana,1960,
34,Central African Republic,1960,
35,Canada,1960,
36,Central Europe and the Baltics,1960,
37,Switzerland,1960,
38,Channel Islands,1960,
39,Chile,1960,
40,China,1960,
41,Cote d'Ivoire,1960,
42,Cameroon,1960,
43,"Congo, Dem. Rep.",1960,
44,"Congo, Rep.",1960,
45,Colombia,1960,
46,Comoros,1960,
47,Cabo Verde,1960,
48,Costa Rica,1960,
49,Caribbean small states,1960,
50,Cuba,1960,
51,Curacao,1960,
52,Cayman Islands,1960,
53,Cyprus,1960,
54,Czech Republic,1960,
55,Germany,1960,
56,Djibouti,1960,
57,Dominica,1960,
58,Denmark,1960,
59,Dominican Republic,1960,
60,Algeria,1960,
61,East Asia & Pacific (excluding high income),1960,
62,Early-demographic dividend,1960,
63,East Asia & Pacific,1960,
64,Europe & Central Asia (excluding high income),1960,
65,Europe & Central Asia,1960,
66,Ecuador,1960,
67,"Egypt, Arab Rep.",1960,
68,Euro area,1960,
69,Eritrea,1960,
70,Spain,1960,
71,Estonia,1960,
72,Ethiopia,1960,
73,European Union,1960,
74,Fragile and conflict affected situations,1960,
75,Finland,1960,
76,Fiji,1960,
77,France,1960,
78,Faroe Islands,1960,
79,"Micronesia, Fed. Sts.",1960,
80,Gabon,1960,
81,United Kingdom,1960,
82,Georgia,1960,
83,Ghana,1960,
84,Gibraltar,1960,
85,Guinea,1960,
86,"Gambia, The",1960,
87,Guinea-Bissau,1960,
88,Equatorial Guinea,1960,
89,Greece,1960,
90,Grenada,1960,
91,Greenland,1960,
92,Guatemala,1960,
93,Guam,1960,
94,Guyana,1960,
95,High income,1960,
96,"Hong Kong SAR, China",1960,
97,Honduras,1960,
98,Heavily indebted poor countries (HIPC),1960,
99,Croatia,1960,
100,Haiti,1960,
101,Hungary,1960,
102,IBRD only,1960,
103,IDA & IBRD total,1960,
104,IDA total,1960,
105,IDA blend,1960,
106,Indonesia,1960,
107,IDA only,1960,
108,Isle of Man,1960,
109,India,1960,
110,Not classified,1960,
111,Ireland,1960,
112,"Iran, Islamic Rep.",1960,
113,Iraq,1960,
114,Iceland,1960,
115,Israel,1960,
116,Italy,1960,
117,Jamaica,1960,
118,Jordan,1960,
119,Japan,1960,
120,Kazakhstan,1960,
121,Kenya,1960,
122,Kyrgyz Republic,1960,
123,Cambodia,1960,
124,Kiribati,1960,
125,St. Kitts and Nevis,1960,
126,"Korea, Rep.",1960,
127,Kuwait,1960,
128,Latin America & Caribbean (excluding high income),1960,
129,Lao PDR,1960,
130,Lebanon,1960,
131,Liberia,1960,
132,Libya,1960,
133,St. Lucia,1960,
134,Latin America & Caribbean,1960,
135,Least developed countries: UN classification,1960,
136,Low income,1960,
137,Liechtenstein,1960,
